DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
5072008,0,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.448,12.991,0,80,55,1.4,10.031,46.105,6.179,1.076,70.657,68.472,72.611,66.298,65.949,0,0.002,0,20,20,53.774,46.693,65.937,71.749,129.425,108.622,128.872,42.109,55.911,41.84,-10.852,110,110,71.375,70.188,69.5,69.375,0,0,72,70,1000,200,0,9.961,70.688,68.563,0.012,74,76.063,75.125,75.5,0,0.382,72,70,1000,200,0,0,77.938,76.125,0.022,73.563,76.25,73.875,75.375,0,31.328,72,70,1000,200,-0.002,0,77.813,76.438,0.021,73.625,75.313,74.813,74.438,0,36.406,72,70,1000,200,-0.001,0,76.75,75.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,0,0,0.001,0.001,-0.148,0.001,0.012,-0.253,0,0,0.035,0.035,0.004,0.006,0.004,0.005
5072008,1,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.438,13.035,0,80,55,1.4,10.008,46.105,7.715,-0.356,70.764,68.472,72.611,66.298,65.949,0,0.002,0.004,20,20,53.774,47.096,65.937,71.749,129.278,108.729,128.872,42.182,56.015,41.985,-10.852,110,110,71.375,70.25,69.5,69.375,0,0,72,70,1000,200,0,10.461,70.688,68.625,0.012,74,76,75.125,75.5,0,0.382,72,70,1000,200,0,0,77.938,76.313,0.022,73.563,76.25,74,75.375,0,31.328,72,70,1000,200,-0.002,0,77.938,76.438,0.021,73.625,75.375,74.688,74.438,0,36.406,72,70,1000,200,-0.001,0,76.75,75.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,0,0.001,0.009,-0.186,0,0,0.035,0.034,0.004,0.005,0.005,0.005
5072008,2,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.438,13.049,0,80,55,1.4,10.516,46.105,6.179,-0.356,70.764,68.472,72.611,66.298,66.058,0,0.002,0,20,20,53.802,47.154,65.911,71.749,128.762,108.622,128.724,42.109,56.015,41.912,-10.852,110,110,71.563,70.188,69.5,69.375,0,0,72,70,1000,200,0,10.094,70.688,68.563,0.012,74,76.063,75.125,75.5,0,0.382,72,70,1000,200,0,0,77.938,76.125,0.022,73.563,76.188,74,75.375,0,31.328,72,70,1000,200,-0.001,0,77.938,76.438,0.021,73.688,75.375,74.688,74.438,0,36.406,72,70,1000,200,-0.001,0,76.75,75.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.149,-0.148,0.001,0.001,-0.185,0,0,0.035,0.035,0.004,0.006,0.005,0.005
5072008,3,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.427,12.962,0,80,55,1.4,10.227,47.368,6.179,-0.356,70.764,68.472,72.611,66.298,66.058,0,0.002,0,20,20,53.774,47.269,65.885,71.749,128.466,108.729,128.577,42.037,55.806,41.84,-10.852,110,110,71.375,70.188,69.5,69.375,0,0,72,70,1000,200,0,10.5,70.688,68.625,0.012,74,76,75.125,75.5,0,0.382,72,70,1000,200,0,0,77.938,76.313,0.022,73.438,76.25,74,75.375,0,31.328,72,70,1000,200,-0.001,0,77.938,76.438,0.021,73.688,75.313,74.688,74.438,0,36.406,72,70,1000,200,-0.001,0,76.75,75.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,-0.148,0,0.001,0.001,-0.148,0.149,-0.002,-0.185,0,0,0.035,0.034,0.004,0.005,0.005,0.005
5072008,4,0,1,3,1,100,0,0,0,0,0,0,33.958,35.129,0.406,13.035,0,80,55,1.4,10,46.105,6.179,1.076,70.764,68.472,72.502,66.298,66.058,0,0.002,0.004,20,20,53.774,47.211,65.911,71.749,128.319,108.729,128.429,42.109,55.806,41.912,-10.852,110,110,71.375,70.25,69.5,69.25,0,0,72,70,1000,200,0,10.32,70.688,68.625,0.012,74,76,75.125,75.438,0,0.382,72,70,1000,200,0,0,77.938,76.125,0.022,73.438,76.188,73.875,75.375,0,31.328,72,70,1000,200,-0.001,0,77.938,76.438,0.021,73.688,75.313,74.688,74.438,0,36.406,72,70,1000,200,-0.001,0,76.75,75.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.149,0.001,0,0.001,-0.002,-0.187,0,0,0.034,0.035,0.004,0.006,0.005,0.005
5072008,5,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.396,12.991,0,80,55,1.4,10.109,46.105,6.179,1.076,70.764,68.472,72.502,66.298,65.949,0,0.002,0,20,20,53.774,46.837,65.911,71.749,128.098,108.729,128.208,42.109,55.911,41.912,-10.852,110,110,71.375,70.25,69.5,69.25,0,0,72,70,1000,200,0,9.961,70.688,68.563,0.012,74,76,75.125,75.5,0,0.382,72,70,1000,200,0,0,77.938,76.125,0.022,73.563,76.188,74,75.375,0,31.328,72,70,1000,200,-0.001,0,78.063,76.438,0.021,73.625,75.313,74.688,74.625,0,36.406,72,70,1000,200,-0.001,0,76.75,75.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.149,0.001,0,0.001,-0.002,-0.185,0,0,0.035,0.034,0.004,0.006,0.005,0.005
5072008,6,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.365,13.006,0,80,55,1.4,10.07,46.105,6.179,1.076,70.764,68.472,72.611,66.408,66.058,0,0.002,0,20,20,53.802,47.326,65.865,71.749,128.098,108.835,127.912,42.037,56.015,41.84,-10.852,110,110,71.563,70.188,69.5,69.25,0,0,72,70,1000,200,0,9.648,70.688,68.563,0.012,74,76,75.125,75.5,0,0.382,72,70,1000,200,0,0,77.813,76.313,0.022,73.438,76.188,74,75.375,0,31.328,72,70,1000,200,-0.001,0,78.063,76.438,0.021,73.625,75.25,74.5,74.438,0,36.406,72,70,1000,200,-0.001,0,76.75,75.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,-0.148,0,0.001,0.149,-0.148,0.149,0.004,-0.183,0,0,0.035,0.035,0.004,0.005,0.005,0.005
5072008,7,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.344,12.977,0,80,55,1.4,10.297,46.105,6.179,1.076,70.764,68.472,72.611,66.408,66.058,0,0.002,0.004,20,20,53.858,46.78,65.865,71.749,128.319,108.835,127.764,42.182,55.911,42.058,-10.852,110,110,71.375,70.25,69.5,69.375,0,0,72,70,1000,200,0,10.039,70.688,68.625,0.011,74,76,75.125,75.438,0,0.382,72,70,1000,200,0,0,77.813,76.125,0.022,73.438,76.188,73.875,75.375,0,31.328,72,70,1000,200,-0.002,0,77.938,76.438,0.021,73.625,75.313,74.688,74.438,0,36.406,72,70,1000,200,-0.001,0,76.75,75.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0,0,0.001,0.149,-0.148,0.001,0.01,-0.117,0,0,0.035,0.035,0.003,0.005,0.005,0.005
5072008,8,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.323,12.948,0,80,55,1.4,10.344,46.105,7.715,1.076,70.764,68.472,72.502,66.408,66.058,0,0.002,0,20,20,53.858,46.952,65.872,71.749,128.466,108.729,127.469,42.109,56.015,41.912,-10.852,110,110,71.375,70.25,69.5,69.563,0,0,72,70,1000,200,0,10.211,70.75,68.563,0.012,74,76,75.125,75.5,0,0.382,72,70,1000,200,0,0,77.938,76.125,0.022,73.563,76.188,73.875,75.375,0,31.328,72,70,1000,200,-0.002,0,77.938,76.438,0.021,73.625,75.313,74.688,74.625,0,36.406,72,70,1000,200,-0.001,0,76.75,75.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.149,0.001,-0.148,0.001,0.016,-0.183,0,0,0.035,0.035,0.004,0.006,0.005,0.005
5072008,9,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.312,12.977,0,80,55,1.4,10.344,46.105,6.179,1.076,70.764,68.472,72.611,66.408,66.058,0,0.002,0,20,20,53.885,47.269,65.898,71.749,128.614,108.835,127.248,42.109,56.015,41.985,-10.852,110,110,71.375,70.25,69.5,69.375,0,0,72,70,1000,200,0,10.43,70.688,68.563,0.012,74,76,75.125,75.438,0,0.382,72,70,1000,200,0,0,77.813,76.125,0.022,73.563,76.188,73.875,75.375,0,31.328,72,70,1000,200,-0.002,0,77.938,76.438,0.021,73.625,75.313,74.688,74.438,0,36.406,72,70,1000,200,-0.001,0,76.75,75.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.149,0.001,-0.148,0.001,0.022,-0.116,0,0,0.035,0.034,0.004,0.005,0.005,0.005
