DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
5122008,0,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.01,12.991,0,80,55,1.4,56.438,90.386,3.107,2.508,69.591,65.902,71.202,64.212,65.078,0,-0.005,-0.004,20,20,30.948,28.832,44.524,68.534,117.846,99.043,119.347,42.691,56.12,42.496,-10.852,110,110,71,69.688,69,69.063,0,0,72,70,1000,200,0,12.258,70.563,68.438,0.012,73.125,74.438,73.875,74.25,0,0,72,70,1000,200,0.001,44.25,76.688,75.125,0.022,70.313,73.125,72.313,72.125,0,28.719,72,70,1000,200,-0.001,0,75.188,73.938,0.021,69.75,70.313,71.688,70.188,0,28.969,72,70,1000,200,-0.001,0,72.875,72,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0,-0.074,0.001,0.001,-0.148,0.149,-0.001,-0.189,0,0,0.035,0.035,0.004,0.005,0.004,0.003
5122008,1,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.035,0,80,55,1.4,56.523,90.386,3.107,2.508,69.591,65.902,71.202,64.212,65.078,0,-0.008,-0.004,20,20,30.948,28.832,44.446,68.534,118.141,98.831,119.273,42.691,56.225,42.496,-10.852,110,110,71,69.75,69,69.063,0,0,72,70,1000,200,0,12.281,70.375,68.438,0.012,72.938,74.438,73.875,74.125,0,0,72,70,1000,200,0.001,44.156,76.688,75.125,0.022,70.313,73.188,72.5,72.125,0,28.719,72,70,1000,200,-0.001,0,75.25,73.875,0.021,69.75,70.375,71.813,70.188,0,28.969,72,70,1000,200,-0.001,0,73,72,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,0,0.001,0.001,-0.148,0.001,-0.001,-0.188,0,0,0.035,0.035,0.003,0.005,0.004,0.004
5122008,2,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.006,0,80,55,1.4,56.5,89.119,3.107,1.076,69.804,65.902,71.202,64.432,65.078,0,-0.005,-0.004,20,20,30.948,28.861,44.433,68.534,117.698,98.724,119.051,42.691,56.225,42.496,-10.852,110,110,71,69.75,69,69.063,0,0,72,70,1000,200,0,13.031,70.375,68.438,0.012,72.938,74.438,73.875,74.125,0,0,72,70,1000,200,0.001,44.313,76.688,75.125,0.022,70.5,73.125,72.5,72.125,0,28.719,72,70,1000,200,-0.001,0,75.25,73.938,0.021,69.75,70.375,71.813,70.188,0,28.969,72,70,1000,200,-0.001,0,73,72,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.031,0.008,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,-0.148,0,0.001,0.001,-0.148,0.001,-0.001,-0.187,0,0,0.035,0.034,0.003,0.005,0.004,0.004
5122008,3,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.049,0,80,55,1.4,56.82,90.386,3.107,1.076,69.591,65.902,71.093,64.212,65.078,0,-0.005,-0.004,20,20,30.948,28.832,44.407,68.534,117.551,98.724,118.83,42.691,56.33,42.569,-10.852,110,110,71,69.75,69,69.063,0,0,72,70,1000,200,0,12.203,70.375,68.438,0.012,72.938,74.438,73.875,74.125,0,0,72,70,1000,200,0.001,44.313,76.688,75.125,0.022,70.313,73.125,72.5,72.125,0,28.719,72,70,1000,200,-0.001,0,75.25,73.938,0.021,69.75,70.313,71.813,70.313,0,28.969,72,70,1000,200,-0.001,0,73,72,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,-0.001,-0.117,0,0,0.035,0.035,0.003,0.005,0.004,0.004
5122008,4,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,12.977,0,80,55,1.4,56.656,89.119,3.107,1.076,69.591,66.116,71.418,64.432,65.078,0,-0.005,-0.004,20,20,30.948,28.89,44.524,68.534,117.329,98.618,118.608,42.691,56.225,42.496,-10.852,110,110,71,69.75,69,69.063,0,0,72,70,1000,200,0,12.445,70.375,68.438,0.011,72.938,74.438,73.875,74.125,0,0,72,70,1000,200,0.001,44.281,76.688,75.125,0.022,70.313,73.125,72.313,72.125,0,28.719,72,70,1000,200,-0.001,0,75.188,73.875,0.021,69.75,70.438,71.688,70.313,0,28.969,72,70,1000,200,-0.001,0,73,72,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,-0.001,-0.187,0,0,0.035,0.034,0.003,0.005,0.004,0.004
5122008,5,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.01,12.991,0,80,55,1.4,56.984,89.119,3.107,1.076,69.911,65.902,71.202,64.212,65.078,0,-0.005,-0.004,20,20,30.92,28.861,44.66,68.534,117.108,98.618,118.46,42.763,56.33,42.569,-10.852,110,110,71,69.75,69,69.063,0,0,72,70,1000,200,0,12.563,70.375,68.438,0.012,72.938,74.438,73.875,74.125,0,0,72,70,1000,200,0.001,44.313,76.688,75.125,0.022,70.313,73.125,72.313,72.125,0,28.719,72,70,1000,200,-0.001,0,75.25,73.875,0.021,69.625,70.438,71.813,70.188,0,28.969,72,70,1000,200,-0.001,0,73,72,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,-0.148,-0.074,0.001,0.001,-0.148,0.001,-0.001,-0.186,0,0,0.035,0.035,0.003,0.005,0.004,0.004
5122008,6,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.02,0,80,55,1.4,56.953,87.851,3.107,1.076,69.591,66.009,71.202,64.212,65.078,0,-0.005,-0.004,20,20,30.92,28.919,44.75,68.534,117.034,98.618,118.313,42.763,56.225,42.569,-10.852,110,110,71,69.75,68.875,69.063,0,0,72,70,1000,200,0,12.258,70.375,68.438,0.011,72.938,74.375,73.875,74.125,0,0,72,70,1000,200,0.001,44.406,76.688,75.125,0.022,70.313,73.125,72.5,72.125,0,28.719,72,70,1000,200,-0.001,0,75.25,73.875,0.021,69.625,70.375,71.688,70.188,0,28.969,72,70,1000,200,-0.001,0,72.875,72,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0,0,0.149,0.001,-0.148,-0.072,-0.001,-0.188,0,0,0.035,0.034,0.003,0.005,0.004,0.003
5122008,7,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.006,0,80,55,1.4,58.125,86.584,3.107,1.076,69.591,66.223,71.418,64.432,65.078,0,-0.005,-0.004,20,20,30.92,28.919,44.854,68.534,116.813,98.511,118.165,42.763,56.225,42.569,-10.852,110,110,71,69.75,68.875,69.063,0,0,72,70,1000,200,0,12.898,70.375,68.438,0.011,72.938,74.375,73.875,74.125,0,0,72,70,1000,200,0.001,44.656,76.688,75.125,0.022,70.313,73.125,72.5,72.125,0,28.719,72,70,1000,200,-0.001,0,75.188,73.875,0.021,69.625,70.375,71.688,70.188,0,28.969,72,70,1000,200,-0.001,0,72.875,72,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,0,0.149,0.001,-0.148,0.001,-0.001,-0.187,0,0,0.035,0.034,0.003,0.005,0.004,0.003
5122008,8,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.035,0,80,55,1.4,56.625,87.851,3.107,2.508,69.591,66.009,71.202,64.212,65.078,0,-0.005,-0.004,20,20,30.892,28.919,44.951,68.534,116.666,98.405,118.017,42.763,56.225,42.569,-10.852,110,110,71,69.75,69,69.063,0,0,72,70,1000,200,0,12.188,70.375,68.438,0.012,72.938,74.375,73.875,74.125,0,0,72,70,1000,200,0.001,44.438,76.688,74.938,0.022,70.313,73.125,72.313,72.125,0,28.719,72,70,1000,200,-0.001,0,75.188,73.938,0.021,69.75,70.375,71.688,70.188,0,28.969,72,70,1000,200,-0.001,0,72.875,72,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.149,0.001,-0.148,0.001,-0.001,-0.188,0,0,0.035,0.034,0.003,0.006,0.004,0.003
5122008,9,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.02,0,80,55,1.4,56.727,87.851,3.107,1.076,69.911,66.009,71.202,64.322,65.078,0,-0.005,-0.004,20,20,30.92,28.947,45.139,68.534,116.518,98.192,117.87,42.763,56.225,42.569,-10.852,110,110,70.75,69.75,69,69.063,0,0,72,70,1000,200,0,12.148,70.375,68.438,0.012,72.813,74.313,73.875,74.125,0,0,72,70,1000,200,0.001,44.469,76.688,74.938,0.022,70.313,73.125,72.313,72.125,0,28.719,72,70,1000,200,-0.001,0,75.188,73.875,0.021,69.625,70.375,71.688,70.188,0,28.969,72,70,1000,200,-0.001,0,72.875,72,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,-0.001,-0.188,0,0,0.035,0.034,0.003,0.006,0.004,0.003
