DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
6012008,0,0,1,3,1,100,25.666,100,100,100,0,0,97.189,52.693,0.824,12.802,0,80,55,1.4,593,49.894,224.262,11.096,54.237,68.257,69.901,68.165,49.955,0.054,0.073,0.018,73.37,58.047,88.973,54.603,66.85,68.212,135.99,112.986,134.853,38.693,55.806,41.694,-10.852,110,110,70.063,69.063,55.281,68.5,0,18.297,72,70,1000,200,0.012,62.188,116.688,84.875,0.011,69.75,69.688,57.5,62.406,0,13.078,72,70,1000,200,0.003,54,120,69.875,0.022,70,69.875,56.25,64.125,0,15.055,72,70,1000,200,0.001,28.391,122.813,86.188,0.026,69.938,70,55.531,63.75,0,17.906,72,70,1000,200,0.002,43.938,119.5,84.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.032,2.967,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.148,-0.072,-0.072,-0.222,-0.072,0.041,2.245,0,5.331,0.097,0.053,0.051,0.159,0.137,0.138
6012008,1,0,1,3,1,100,0,0,0,0,0,0,33.958,33.958,0.876,13.006,0,80,55,1.4,66,46.105,185.979,41.151,54.343,68.364,70.01,67.726,50.39,0,0.013,0.018,32.347,20,89.112,54.603,66.786,68.319,136.285,113.305,134.927,38.693,49.931,39.944,-10.852,110,110,69.938,69.063,55.688,68.5,0,22.438,72,70,1000,200,0,17.313,115.563,84.438,0.012,70,69.875,57.719,63.406,0,17.75,72,70,1000,200,0,3.285,119.063,70.375,0.022,70,70,56.781,64.688,0,18.906,72,70,1000,200,-0.002,0,121.688,85.813,0.026,70.125,70.125,56,64.688,0,23.234,72,70,1000,200,-0.001,0,118.25,83.625,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.032,2.971,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0,0,0.149,0.149,-0.148,0.149,0.052,1.448,0,0,0.034,0.034,0.054,0.155,0.135,0.135
6012008,2,0,1,3,1,100,0,0,0,0,0,0,33.958,33.958,0.908,12.875,0,80,55,1.4,13.352,44.842,168.517,86.936,54.663,68.364,70.118,66.518,50.825,0,0.013,0.018,20.037,20,89.028,54.459,66.74,68.534,136.432,113.305,135.075,38.693,50.561,38.558,-10.852,110,110,69.938,69.125,56.406,68.625,0,22.375,72,70,1000,200,0,11.57,114.75,84.063,0.012,70.125,70.063,58.219,64.188,0,18.391,72,70,1000,200,0,0,118.188,70.5,0.022,70.063,70.188,57.656,65.438,0,18.906,72,70,1000,200,-0.002,0,120.063,85.438,0.026,70.25,70.313,56.813,65.438,0,23.234,72,70,1000,200,-0.001,0,115.125,83.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.032,2.972,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,0.053,-0.146,0,0,0.034,0.034,0.053,0.152,0.13,0.123
6012008,3,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.876,12.904,0,80,55,1.4,12.195,44.842,3.107,5.371,54.983,68.15,70.226,65.31,51.26,0,0.013,0.022,20,20,88.695,54.459,66.65,68.641,136.358,113.305,135.37,38.693,50.98,38.485,-10.852,110,110,69.938,69.125,57.125,68.625,0,21.469,72,70,1000,200,0,11.914,113.938,83.688,0.011,70.25,70.25,58.438,64.938,0,18.391,72,70,1000,200,0,0,116.875,70.688,0.022,70.063,70.375,58.344,66.063,0,18.906,72,70,1000,200,-0.002,0,118.125,85.313,0.026,70.313,70.438,57.719,66.063,0,23.234,72,70,1000,200,-0.001,0,112.563,83.188,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.032,2.974,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.001,0.149,-0.148,0.149,0.038,-0.218,0,0,0.035,0.034,0.048,0.147,0.123,0.115
6012008,4,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.845,12.889,0,80,55,1.4,12,44.842,3.107,2.508,55.303,68.15,70.335,64.432,51.587,0,0.013,0.022,20,20,88.166,54.229,66.585,68.748,136.063,113.305,135.592,38.693,51.295,38.485,-10.852,110,110,70.063,69.125,57.531,68.625,0,20.531,72,70,1000,200,0,12.477,113.063,83.5,0.012,70.313,70.438,58.906,65.563,0,18.391,72,70,1000,200,0,0,115.313,70.75,0.022,70.188,70.5,59.031,66.313,0,18.906,72,70,1000,200,-0.002,0,116.188,85.125,0.026,70.375,70.5,58.313,66.5,0,23.234,72,70,1000,200,-0.001,0,110.5,83.188,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.032,2.979,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.149,-0.148,0.001,0.017,-0.213,0,0,0.035,0.034,0.051,0.142,0.117,0.107
6012008,5,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.814,12.977,0,80,55,1.4,13.273,44.842,3.107,2.508,55.623,68.15,70.443,63.773,51.913,0,0.013,0.022,20,20,87.638,54.143,66.494,68.748,135.768,113.305,135.592,38.62,51.505,38.485,-10.852,110,110,70.188,69.125,57.781,68.5,0,19.578,72,70,1000,200,0,12.648,112.125,83.313,0.012,70.438,70.5,59.25,66.188,0,18.391,72,70,1000,200,0,0,113.75,70.75,0.022,70.188,70.625,59.531,66.875,0,18.906,72,70,1000,200,-0.002,0,114.563,85,0.026,70.375,70.563,58.844,67.063,0,23.234,72,70,1000,200,-0.001,0,109,83,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.032,2.979,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.001,0.149,-0.148,0.149,0.006,-0.136,0,0,0.035,0.034,0.05,0.137,0.111,0.102
6012008,6,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.772,12.933,0,80,55,1.4,13.156,44.842,3.107,1.076,55.836,68.043,70.552,63.224,52.24,0,0.013,0.022,20,20,87.166,53.97,66.371,68.748,135.547,113.092,135.444,38.548,51.715,38.412,-10.852,110,110,70.188,69.125,58.219,68.5,0,18.625,72,70,1000,200,0,12.82,111.313,83,0.011,70.563,70.688,59.563,66.563,0,18.391,72,70,1000,200,0,0,112.313,71,0.022,70.313,70.75,60.125,67.313,0,18.906,72,70,1000,200,-0.002,0,113.25,84.813,0.026,70.5,70.625,59.438,67.375,0,23.234,72,70,1000,200,-0.001,0,107.813,82.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.032,2.977,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0,-0.074,0.149,0.001,-0.148,0.001,0.004,-0.134,0,0,0.035,0.034,0.045,0.131,0.107,0.097
6012008,7,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.73,12.962,0,80,55,1.4,13.445,44.842,3.107,2.508,56.156,68.043,70.66,62.895,52.457,0,0.013,0.022,20,20,86.749,53.884,66.319,68.748,135.547,113.305,135.149,38.693,51.82,38.412,-10.852,110,110,70.063,69.188,58.688,68.5,0,17.641,72,70,1000,200,0,13.18,110.563,82.688,0.012,70.75,70.813,60.063,66.938,0,18.391,72,70,1000,200,0,0,111.188,71,0.022,70.5,70.875,60.656,67.438,0,18.906,72,70,1000,200,-0.002,0,111.938,84.813,0.026,70.5,70.75,59.938,67.75,0,23.234,72,70,1000,200,-0.001,0,106.813,82.875,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.032,2.974,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.149,0.013,-0.277,0,0,0.035,0.034,0.048,0.128,0.102,0.094
6012008,8,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.678,13.006,0,80,55,1.4,12.43,44.842,3.107,1.076,56.369,67.936,70.768,62.565,52.784,0,0.013,0.022,20,20,86.331,53.769,66.332,68.855,135.621,113.305,134.853,38.911,51.924,38.704,-10.852,110,110,70.188,69.188,58.906,68.5,0,16.734,72,70,1000,200,0,13.242,109.875,82.5,0.012,70.875,71,60.25,67.375,0,18.391,72,70,1000,200,0,0,110.125,71,0.022,70.5,71,60.938,67.875,0,18.906,72,70,1000,200,-0.002,0,110.813,84.688,0.026,70.5,70.875,60.531,67.938,0,23.234,72,70,1000,200,-0.001,0,105.813,82.625,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.032,2.972,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0.147,0.001,0.001,0,0.149,0.023,-0.207,0,0,0.035,0.034,0.048,0.125,0.098,0.091
6012008,9,0,1,3,1,100,0,0,0,0,0,0,33.958,33.958,0.615,12.948,0,80,55,1.4,12.844,44.842,3.107,2.508,56.582,67.936,70.877,62.236,53.11,0,0.013,0.022,20,20,85.942,53.654,66.397,68.855,135.768,113.092,134.706,38.984,51.924,38.777,-10.852,110,110,70.063,69.188,59.281,68.5,0,15.938,72,70,1000,200,0,12.258,108.938,82.25,0.011,70.875,71.125,60.688,67.688,0,18.391,72,70,1000,200,0,0,109,71.063,0.022,70.5,71.188,61.406,68.063,0,18.906,72,70,1000,200,-0.002,0,109.688,84.625,0.026,70.688,71,60.813,68.313,0,23.234,72,70,1000,200,-0.001,0,105.063,82.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.032,2.977,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.001,0.149,-0.148,0.149,0.029,-0.207,0,0,0.034,0.034,0.043,0.121,0.094,0.088
