DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
5132008,0,0,1,3,1,100,0,0,0,0,0,0,35.139,36.31,0.011,13.324,0,80,55,1.4,12.211,2.248,2.228,5.683,70.754,66.859,71.024,65.652,66.249,0,-0.018,0.028,20,20,37.753,34.101,56.254,68.277,72.167,70.709,74.662,39.881,54.138,40.366,-10.82,45.844,44.844,71.813,71.188,70.688,71.125,0,0,72,70,1000,200,0,12.289,72.625,71.438,0.014,73.25,74.813,72.438,74.188,0,95.25,72,70,1000,200,0,0,75.563,75.313,0.024,71.75,73.25,72.063,72.938,0,38.438,72,70,1000,200,-0.001,0,74.125,73.75,0.034,71.125,72.25,71.813,72,0,33.781,72,70,1000,200,0,0,73.188,72.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,0,0,0.001,0.149,-0.148,0.149,-0.019,0.453,0,0,0.035,0.036,0.002,0.001,0.002,0.002
5132008,1,0,1,3,1,100,0,0,0,0,0,0,35.139,35.139,0.011,13.339,0,80,55,1.4,12.328,2.248,2.228,4.405,70.754,66.966,71.235,65.758,66.249,0,-0.018,0.025,20,20,37.753,34.101,56.228,68.384,72.167,70.922,74.662,39.881,54.138,40.366,-10.82,45.813,44.844,71.75,71.188,70.563,71.125,0,0,72,70,1000,200,0,12.266,72.625,71.563,0.014,73.25,74.813,72.438,74.188,0,95.25,72,70,1000,200,0,0,75.563,75.563,0.024,71.75,73.25,72.063,72.938,0,38.438,72,70,1000,200,-0.001,0,74.125,73.75,0.029,71.125,72.25,71.813,72,0,33.781,72,70,1000,200,0,0,73.188,72.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.149,0.001,0,0.001,-0.022,0.454,0,0,0.035,0.035,0.002,0,0.002,0.002
5132008,2,0,1,3,1,100,0,0,0,0,0,0,35.139,35.139,0.011,13.339,0,80,55,1.4,12.031,2.248,2.228,5.355,70.754,66.966,71.129,65.758,66.249,0,-0.018,0.025,20,20,37.753,34.129,56.202,68.277,72.167,70.709,74.662,39.954,54.347,40.293,-10.82,45.813,44.844,71.75,71.125,70.688,71.063,0,0,72,70,1000,200,0,12.242,72.5,71.438,0.014,73.25,74.813,72.438,74.188,0,95.25,72,70,1000,200,0,0,75.5,75.313,0.024,71.75,73.25,72.063,72.875,0,38.438,72,70,1000,200,-0.001,0,74.125,73.75,0.038,71.125,72.188,71.813,71.875,0,33.781,72,70,1000,200,0,0,73.063,72.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.149,-0.222,0.149,-0.019,0.314,0,0,0.035,0.035,0.002,0.001,0.002,0.001
5132008,3,0,1,3,1,100,0,0,0,0,0,0,36.31,35.139,0.011,13.368,0,80,55,1.4,12.469,2.248,2.228,-0.718,70.862,66.966,71.235,65.758,66.249,0,-0.018,0.028,20,20,37.725,34.101,56.157,68.384,72.093,70.922,74.515,39.881,54.347,40.293,-10.82,45.656,44.875,71.813,71.125,70.688,71.063,0,0,72,70,1000,200,0,12.453,72.625,71.563,0.014,73.25,74.813,72.438,74.188,0,95.25,72,70,1000,200,0,0,75.5,75.313,0.024,71.75,73.188,72.063,72.938,0,38.438,72,70,1000,200,-0.001,0,74.125,73.75,0.034,71.188,72.25,71.813,72,0,33.781,72,70,1000,200,0,0,73.063,72.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.149,-0.148,0.001,-0.023,0.381,0,0,0.036,0.035,0.002,0.001,0.002,0
5132008,4,0,1,3,1,100,0,0,0,0,0,0,36.31,35.139,0.011,13.354,0,80,55,1.4,12.539,2.248,2.228,-1.439,70.754,66.966,71.235,65.758,66.249,0,-0.018,0.025,20,20,37.753,34.157,56.215,68.384,72.093,70.922,74.589,39.954,54.347,40.366,-10.82,45.531,44.938,71.813,71.188,70.688,71.063,0,0,72,70,1000,200,0,12.219,72.625,71.438,0.014,73.25,74.75,72.438,74.188,0,95.25,72,70,1000,200,0,0,75.563,75.313,0.024,71.75,73.25,72.063,72.875,0,38.438,72,70,1000,200,-0.001,0,74.125,73.75,0.038,71.125,72.313,71.813,72,0,33.781,72,70,1000,200,0,0,73.188,72.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0,0,0.149,0.149,-0.148,0.149,-0.023,0.382,0,0,0.036,0.035,0.002,0.001,0.002,0.002
5132008,5,0,1,3,1,100,0,0,0,0,0,0,35.139,35.139,0.011,13.339,0,80,55,1.4,12.203,2.248,2.228,-1.69,70.754,66.966,71.235,65.758,66.249,0,-0.018,0.025,20,20,37.725,34.185,56.17,68.277,72.167,70.709,74.589,39.954,54.556,40.366,-10.82,45.375,45,71.75,71.188,70.688,71.125,0,0,72,70,1000,200,0,12.359,72.625,71.438,0.014,73.25,74.75,72.438,74.125,0,95.25,72,70,1000,200,0,0,75.5,75.313,0.024,71.688,73.188,72.063,72.938,0,38.438,72,70,1000,200,-0.001,0,74.125,73.75,0.038,71.125,72.313,71.813,72,0,33.781,72,70,1000,200,0,0,73.063,72.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.149,-0.018,0.376,0,0,0.035,0.035,0.002,0.001,0.002,0
5132008,6,0,1,3,1,100,0,0,0,0,0,0,35.139,36.31,0.011,13.398,0,80,55,1.4,12.344,2.248,2.228,-2.358,70.754,67.072,71.235,65.547,66.249,0,-0.014,0.025,20,20,37.753,34.241,56.131,68.384,72.167,70.815,74.589,40.027,54.451,40.366,-10.82,45.25,45.094,71.75,71.25,70.875,71.063,0,0,72,70,1000,200,0,12.281,72.625,71.438,0.014,73,74.688,72.438,74.188,0,95.25,72,70,1000,200,0,0,75.5,75.313,0.024,71.75,73.25,72.063,72.938,0,38.438,72,70,1000,200,-0.001,0,74.125,73.75,0.035,71.125,72.375,71.813,72,0,33.781,72,70,1000,200,0,0,73.188,72.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,-0.148,0.001,-0.02,0.315,0,0,0.035,0.036,0.002,0.001,0.002,0.002
5132008,7,0,1,3,1,100,0,0,0,0,0,0,35.139,35.139,0.011,13.339,0,80,55,1.4,12.32,2.248,2.228,-2.836,70.754,66.966,71.129,65.758,66.356,0,-0.018,0.028,20,20,37.753,34.297,56.189,68.491,72.019,70.815,74.515,39.954,54.451,40.366,-10.82,45.156,45.156,71.813,71.25,70.688,71.063,0,0,72,70,1000,200,0,12.242,72.625,71.438,0.014,73.25,74.75,72.438,74.125,0,95.25,72,70,1000,200,-0.001,0,75.5,75.313,0.024,71.625,73.25,72.063,72.938,0,38.438,72,70,1000,200,-0.001,0,74.125,73.75,0.04,71.125,72.375,71.813,72,0,33.781,72,70,1000,200,0,0,73.063,72.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,0,0,0.001,0.149,-0.148,0.149,-0.023,0.379,0,0,0.035,0.035,0.002,0.001,0.002,0
5132008,8,0,1,3,1,100,0,0,0,0,0,0,35.139,35.139,0.011,13.398,0,80,55,1.4,12.656,2.248,2.228,-3.118,70.754,66.966,71.129,65.864,66.249,0,-0.018,0.025,20,20,37.753,34.325,56.267,68.384,72.019,70.709,74.515,40.027,54.556,40.439,-10.82,45.031,45.25,71.75,71.313,70.688,71.125,0,0,72,70,1000,200,0,12.656,72.625,71.438,0.014,73,74.75,72.438,74.125,0,95.25,72,70,1000,200,0,0,75.5,75.313,0.024,71.688,73.25,72.063,72.938,0,38.438,72,70,1000,200,-0.001,0,74.125,73.75,0.035,71.125,72.375,71.813,72,0,33.781,72,70,1000,200,0,0,73.188,72.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0.147,0.001,0.001,0,0.001,-0.021,0.38,0,0,0.035,0.035,0.002,0.001,0.002,0.002
5132008,9,0,1,3,1,100,0,0,0,0,0,0,35.139,35.139,0.011,13.383,0,80,55,1.4,12.656,2.248,2.228,-0.104,70.754,66.859,71.024,65.758,66.356,0,-0.018,0.025,20,20,37.753,34.353,56.274,68.384,72.093,70.922,74.589,40.027,54.556,40.439,-10.82,45,45.281,71.813,71.25,70.688,71.063,0,0,72,70,1000,200,0,12.477,72.625,71.438,0.014,73,74.688,72.438,74.125,0,95.25,72,70,1000,200,0,0,75.5,75.313,0.024,71.688,73.313,72.063,72.938,0,38.438,72,70,1000,200,-0.001,0,74.063,73.625,0.034,71.125,72.438,71.813,72,0,33.781,72,70,1000,200,0,0,73.063,72.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,0,0,0.001,0.149,-0.148,0.001,-0.023,0.38,0,0,0.035,0.035,0.002,0.001,0.002,0
