DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
5252008,0,0,1,3,1,100,0,0,0,0,0,0,33.958,35.129,0.01,13.049,0,80,55,1.4,31.242,57.477,3.107,2.508,65.646,64.617,72.069,61.028,60.726,0,0.02,0.015,20,20,69.65,51.813,59.663,67.891,118.731,104.365,121.414,41.819,53.498,41.621,-10.852,110,110,70.563,69.813,67.563,69.063,0,0,72,70,1000,200,0,10.727,77.75,71.313,0.012,71.375,72.625,70.25,72.25,0,0,72,70,1000,200,0,20.391,78.875,75.25,0.022,70.5,72.875,70.75,71.438,0,18.375,72,70,1000,200,-0.001,0,81.063,78.625,0.026,71.125,71.625,69.938,71.188,0,21.375,72,70,1000,200,-0.001,0,77.938,76.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,0,0,0.001,0.149,-0.148,0.001,-0.002,-0.221,0,0,0.034,0.035,0.011,0.012,0.009,0.007
5252008,1,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.035,0,80,55,1.4,31.242,57.477,3.107,2.508,65.646,64.617,72.069,61.028,60.835,0,0.02,0.015,20,20,69.566,51.784,59.676,67.891,118.583,104.259,121.266,41.746,53.393,41.548,-10.852,110,110,70.688,69.813,67.688,69.063,0,0,72,70,1000,200,0,10.781,77.563,71.313,0.012,71.375,72.625,70.25,72.25,0,0,72,70,1000,200,0,20.5,78.813,75.25,0.022,70.5,72.813,70.75,71.438,0,18.375,72,70,1000,200,-0.001,0,81.063,78.625,0.026,71.125,71.625,70.063,71.125,0,21.375,72,70,1000,200,-0.001,0,77.813,76,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.149,-0.148,0.149,-0.002,-0.222,0,0,0.035,0.035,0.011,0.011,0.009,0.007
5252008,2,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.02,0,80,55,1.4,31.461,57.477,3.107,3.939,65.646,64.617,72.069,61.138,60.835,0,0.017,0.015,20,20,69.455,51.784,59.689,67.891,118.51,104.152,121.266,41.746,53.498,41.621,-10.852,110,110,70.563,69.813,67.563,69.063,0,0,72,70,1000,200,0,10.859,77.438,71.313,0.012,71.438,72.625,70.313,72.25,0,0,72,70,1000,200,0,20.578,78.813,75.125,0.022,70.5,72.813,70.75,71.438,0,18.375,72,70,1000,200,-0.001,0,80.938,78.5,0.026,71,71.688,70.063,71.188,0,21.375,72,70,1000,200,-0.001,0,77.813,76,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,0,-0.074,0.001,0.001,-0.148,0.001,-0.002,-0.138,0,0,0.035,0.034,0.011,0.012,0.009,0.007
5252008,3,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,12.948,0,80,55,1.4,31.57,57.477,3.107,2.508,65.752,64.724,72.069,61.138,60.835,0,0.017,0.015,20,20,69.344,51.756,59.624,67.891,118.215,104.046,121.045,41.746,53.498,41.548,-10.852,110,110,70.688,69.875,67.688,69.063,0,0,72,70,1000,200,0,10.844,77.438,71.25,0.011,71.375,72.625,70.313,72.25,0,0,72,70,1000,200,0,20.688,78.625,75.25,0.022,70.5,72.813,70.75,71.438,0,18.375,72,70,1000,200,-0.001,0,80.75,78.5,0.026,71,71.688,69.938,71.188,0,21.375,72,70,1000,200,-0.001,0,77.688,76,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,-0.074,0.001,0.001,-0.148,0.001,-0.002,-0.218,0,0,0.035,0.034,0.01,0.011,0.009,0.007
5252008,4,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,12.977,0,80,55,1.4,31.414,57.477,3.107,2.508,65.752,64.51,71.852,60.918,60.944,0,0.017,0.015,20,20,69.233,51.784,59.598,67.998,118.141,103.939,120.971,41.819,53.393,41.621,-10.852,110,110,70.563,69.813,67.688,69.125,0,0,72,70,1000,200,0,10.938,77.375,71.25,0.011,71.375,72.625,70.313,72.25,0,0,72,70,1000,200,0,20.328,78.625,75.25,0.022,70.625,72.875,70.75,71.438,0,18.375,72,70,1000,200,-0.001,0,80.688,78.438,0.026,71,71.688,70.063,71.188,0,21.375,72,70,1000,200,-0.001,0,77.688,75.875,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,-0.074,0.001,0.001,-0.148,0.001,-0.002,-0.222,0,0,0.035,0.034,0.01,0.011,0.009,0.007
5252008,5,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,12.977,0,80,55,1.4,31.438,57.477,3.107,3.939,65.752,64.724,72.177,61.248,60.944,0,0.02,0.015,20,20,69.149,51.784,59.572,67.998,117.993,103.833,120.971,41.819,53.498,41.694,-10.852,110,110,70.688,69.875,67.813,69.063,0,0,72,70,1000,200,0,10.875,77.25,71,0.012,71.438,72.625,70.313,72.25,0,0,72,70,1000,200,0,20.516,78.5,75.25,0.022,70.625,72.813,70.813,71.5,0,18.375,72,70,1000,200,-0.001,0,80.688,78.438,0.026,71.125,71.688,70.188,71.188,0,21.375,72,70,1000,200,-0.001,0,77.563,75.875,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.149,0.001,0,0.001,-0.002,-0.139,0,0,0.035,0.034,0.011,0.01,0.009,0.007
5252008,6,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.006,0,80,55,1.4,31.414,57.477,3.107,1.076,65.859,64.724,72.069,61.248,60.944,0,0.017,0.015,20,20,69.01,51.784,59.572,67.998,117.698,103.726,120.676,41.819,53.498,41.621,-10.852,110,110,70.688,69.875,67.688,69.063,0,0,72,70,1000,200,0,10.953,77.25,71.25,0.011,71.375,72.625,70.438,72.25,0,0,72,70,1000,200,0,20.219,78.5,75.25,0.022,70.625,72.813,70.75,71.438,0,18.375,72,70,1000,200,-0.001,0,80.563,78.438,0.026,71.125,71.688,70.188,71.125,0,21.375,72,70,1000,200,-0.001,0,77.563,75.875,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,-0.002,-0.22,0,0,0.035,0.034,0.01,0.01,0.008,0.007
5252008,7,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.035,0,80,55,1.4,31.219,57.477,3.107,1.076,65.859,64.724,72.069,61.248,61.053,0,0.017,0.015,20,20,68.927,51.756,59.572,67.998,118.362,103.62,120.676,41.819,53.603,41.621,-10.852,110,110,70.688,69.875,67.813,69.125,0,0,72,70,1000,200,0,10.766,77.125,71,0.012,71.375,72.625,70.438,72.25,0,0,72,70,1000,200,0,20.188,78.5,75.125,0.022,70.5,72.813,70.75,71.438,0,18.375,72,70,1000,200,-0.001,0,80.438,78.25,0.026,71,71.688,70.188,71.188,0,21.375,72,70,1000,200,-0.001,0,77.438,75.875,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0,-0.074,0.001,0.001,-0.148,0.001,-0.002,-0.219,0,0,0.035,0.034,0.011,0.011,0.008,0.006
5252008,8,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.035,0,80,55,1.4,30.914,57.477,3.107,2.508,65.966,64.831,72.069,61.248,61.053,0,0.02,0.015,20,20,68.843,51.756,59.546,67.998,118.141,103.407,120.38,41.891,53.498,41.621,-10.852,110,110,70.563,69.813,67.688,69.125,0,0,72,70,1000,200,0,11.016,77,71,0.01,71.438,72.625,70.438,72.313,0,0,72,70,1000,200,0,20.156,78.438,75.125,0.022,70.5,72.875,70.813,71.438,0,18.375,72,70,1000,200,-0.001,0,80.438,78.25,0.026,71.125,71.625,70.188,71.188,0,21.375,72,70,1000,200,-0.001,0,77.438,75.875,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,0,0.001,0.001,-0.222,0.149,-0.002,-0.303,0,0,0.035,0.034,0.009,0.011,0.008,0.006
5252008,9,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.01,12.977,0,80,55,1.4,31.039,57.477,3.107,3.939,65.966,64.831,72.069,61.357,61.053,0,0.02,0.015,20,20,68.732,51.727,59.546,67.998,117.772,103.407,120.233,41.891,53.603,41.694,-10.852,110,110,70.688,69.813,67.813,69.063,0,0,72,70,1000,200,0,10.961,77,71,0.012,71.375,72.625,70.438,72.313,0,0,72,70,1000,200,0,20.453,78.438,74.938,0.022,70.625,72.813,70.813,71.438,0,18.375,72,70,1000,200,-0.001,0,80.375,78.25,0.026,71,71.688,70.188,71.188,0,21.375,72,70,1000,200,-0.001,0,77.313,75.875,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,0,0,0.001,0.001,-0.148,0.001,-0.002,-0.218,0,0,0.035,0.034,0.011,0.011,0.008,0.006
