DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
5152008,0,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.438,13.035,0,80,55,1.4,70.047,30.958,3.107,2.508,65.859,63.868,72.285,61.028,61.923,0,-0.008,-0.011,20,20,37.37,29.724,54.284,67.033,126.696,108.196,127.691,41.673,56.225,41.475,-10.852,110,110,70.563,69.625,67.875,69.125,0,0,72,70,1000,200,0,12.297,77.875,72.188,0.012,71.063,72.563,70.625,72.438,0,0,72,70,1000,200,0.002,57.625,79.625,74.563,0.022,70.063,73.125,70.938,71.438,0,17.984,72,70,1000,200,-0.001,0,80.75,77.813,0.026,69.938,70.75,70.563,70.813,0,20.875,72,70,1000,200,-0.001,0,78.5,76.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0.147,0.001,0.001,-0.148,0.001,-0.024,-0.177,0,0,0.035,0.035,0.01,0.016,0.011,0.008
5152008,1,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.406,12.977,0,80,55,1.4,69.914,30.958,3.107,1.076,65.859,63.868,72.177,61.028,61.923,0,-0.008,-0.011,20,20,37.343,29.724,54.258,67.033,126.844,108.196,127.321,41.673,56.225,41.475,-10.852,110,110,70.563,69.625,67.875,69.063,0,0,72,70,1000,200,0,12.313,77.875,72.063,0.012,71.188,72.563,70.75,72.438,0,0,72,70,1000,200,0.002,57.563,79.5,74.563,0.022,70.063,73.125,70.938,71.438,0,17.984,72,70,1000,200,-0.001,0,80.75,77.813,0.026,70.125,70.75,70.563,70.875,0,20.875,72,70,1000,200,-0.001,0,78.375,76.563,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,0,0.001,-0.01,-0.177,0,0,0.035,0.035,0.01,0.016,0.011,0.007
5152008,2,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.396,13.107,0,80,55,1.4,69.813,30.958,3.107,2.508,65.966,63.975,72.177,61.138,61.923,0,-0.008,-0.007,20,20,37.315,29.724,54.2,67.14,127.065,108.196,126.731,41.6,56.12,41.402,-10.852,110,110,70.563,69.688,67.875,69.125,0,0,72,70,1000,200,0,12.117,77.563,72.063,0.012,71.188,72.563,70.75,72.438,0,0,72,70,1000,200,0.002,57.563,79.5,74.563,0.022,70.063,73.125,70.938,71.438,0,17.984,72,70,1000,200,-0.001,0,80.688,77.813,0.026,69.938,70.75,70.563,70.875,0,20.875,72,70,1000,200,-0.001,0,78.375,76.5,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.149,0.001,-0.148,0.149,0.007,-0.179,0,0,0.035,0.035,0.01,0.016,0.011,0.007
5152008,3,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.365,13.035,0,80,55,1.4,69.594,30.958,3.107,1.076,65.966,63.975,72.177,61.138,62.032,0,-0.008,-0.007,20,20,37.287,29.724,54.122,67.14,127.655,108.196,126.435,41.673,56.12,41.475,-10.852,110,110,70.563,69.625,68,69.063,0,0,72,70,1000,200,0,12.18,77.75,72.063,0.012,71.188,72.625,70.813,72.438,0,0,72,70,1000,200,0.002,57.563,79.438,74.688,0.022,70.063,73.125,70.938,71.438,0,17.984,72,70,1000,200,-0.001,0,80.563,77.813,0.026,69.938,70.75,70.563,70.875,0,20.875,72,70,1000,200,-0.001,0,78.125,76.5,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,-0.072,-0.148,0.001,0.023,-0.179,0,0,0.035,0.034,0.01,0.015,0.01,0.006
5152008,4,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.354,12.991,0,80,55,1.4,70.242,30.958,3.107,1.076,66.072,63.975,72.177,60.918,61.923,0,-0.008,-0.007,20,20,37.287,29.724,54.057,67.14,128.098,108.303,126.14,41.673,56.225,41.475,-10.852,110,110,70.563,69.625,67.875,69.125,0,0,72,70,1000,200,0,12.273,77.375,71.938,0.012,71.063,72.625,70.75,72.438,0,0,72,70,1000,200,0.002,57.531,79.438,74.563,0.022,70.063,73.188,70.938,71.438,0,17.984,72,70,1000,200,-0.001,0,80.563,77.813,0.026,70.125,70.75,70.563,70.875,0,20.875,72,70,1000,200,-0.001,0,78.125,76.5,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,0.035,-0.177,0,0,0.035,0.035,0.01,0.016,0.01,0.006
5152008,5,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.312,13.035,0,80,55,1.4,69.656,30.958,3.107,2.508,66.072,63.975,72.177,61.138,62.032,0,-0.008,-0.007,20,20,37.176,29.724,54.018,67.14,128.54,108.303,125.918,41.746,56.225,41.475,-10.852,110,110,70.563,69.625,68,69.063,0,0,72,70,1000,200,0,12.086,77.375,71.938,0.012,71.188,72.625,70.813,72.438,0,0,72,70,1000,200,0.002,57.531,79.188,74.563,0.022,70.188,73.125,71.063,71.438,0,17.984,72,70,1000,200,-0.001,0,80.438,77.813,0.026,69.938,70.688,70.625,70.875,0,20.875,72,70,1000,200,-0.001,0,78.125,76.375,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.149,-0.148,0,0.001,0.001,-0.148,0.149,0.04,-0.244,0,0,0.035,0.035,0.01,0.015,0.01,0.007
5152008,6,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.292,13.049,0,80,55,1.4,69.656,30.958,3.107,2.508,66.072,63.975,72.177,61.138,62.032,0,-0.008,-0.007,20,20,37.148,29.724,53.908,67.14,128.762,108.196,125.697,41.6,56.225,41.548,-10.852,110,110,70.563,69.625,68,69.125,0,0,72,70,1000,200,0,12.992,77.25,72.063,0.012,71.188,72.625,70.813,72.438,0,0,72,70,1000,200,0.002,57.438,79.125,74.563,0.022,70.063,73.188,70.938,71.438,0,17.984,72,70,1000,200,-0.001,0,80.375,77.625,0.026,69.938,70.75,70.625,70.875,0,20.875,72,70,1000,200,-0.001,0,78.063,76.375,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,0,0,0.001,0.149,-0.148,0.149,0.044,-0.046,0,0,0.035,0.035,0.009,0.015,0.01,0.007
5152008,7,0,1,3,1,100,0,0,0,0,0,0,36.3,33.958,0.281,13.035,0,80,55,1.4,70.25,32.219,3.107,1.076,66.179,63.975,72.177,61.248,62.141,0,-0.008,-0.007,20,20,37.12,29.724,53.765,67.247,129.13,108.09,125.697,41.6,56.12,41.475,-10.852,110,110,70.5,69.625,68,69.125,0,0,72,70,1000,200,0,12.969,77.25,71.938,0.012,71.188,72.563,70.875,72.438,0,0,72,70,1000,200,0.002,57.5,79.125,74.563,0.022,70.063,73.188,71.063,71.5,0,17.984,72,70,1000,200,-0.001,0,80.375,77.563,0.026,70.125,70.75,70.625,70.875,0,20.875,72,70,1000,200,-0.001,0,77.938,76.375,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,0,0,0.149,0.001,0,0.001,0.046,-0.112,0,0,0.036,0.034,0.009,0.015,0.011,0.006
5152008,8,0,1,3,1,100,0,0,0,0,0,0,35.129,35.129,0.271,13.035,0,80,55,1.4,70.195,30.958,3.107,1.076,65.966,64.082,72.177,61.248,61.923,0,-0.008,-0.007,20,20,37.037,29.724,53.603,67.033,129.352,108.196,125.697,41.746,56.12,41.548,-10.867,110,110,70.563,69.625,68.188,69.125,0,0,72,70,1000,200,0,12.102,77.25,71.875,0.012,71.188,72.625,70.875,72.438,0,0,72,70,1000,200,0.002,57.469,79,74.563,0.022,70.188,73.188,71.063,71.5,0,17.984,72,70,1000,200,-0.001,0,80.125,77.563,0.026,69.938,70.75,70.625,70.875,0,20.875,72,70,1000,200,-0.001,0,77.938,76.375,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,0.047,-0.18,0,0,0.035,0.035,0.009,0.014,0.01,0.006
5152008,9,0,1,3,1,100,0,0,0,0,0,0,35.129,33.958,0.239,12.962,0,80,55,1.4,69.578,30.958,3.107,2.508,66.072,64.082,72.177,61.248,61.923,0,-0.008,-0.007,20,20,37.037,29.724,53.364,67.033,129.425,108.09,125.623,41.673,56.12,41.475,-10.852,110,110,70.563,69.625,68,69.063,0,0,72,70,1000,200,0,12.617,77,71.875,0.012,71.188,72.563,70.875,72.438,0,0,72,70,1000,200,0.002,57.406,79,74.563,0.022,70.063,73.188,71.063,71.5,0,17.984,72,70,1000,200,-0.001,0,80.063,77.625,0.026,69.938,70.75,70.625,70.875,0,20.875,72,70,1000,200,-0.001,0,77.938,76.188,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,0.043,-0.178,0,0,0.035,0.034,0.009,0.014,0.009,0.007
