DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
8262007,0,0,1,1,1,100,0,0,0,0,0,0,35.139,36.31,0.012,0.02,0,80,55,1.4,17.438,2.248,2.228,2.468,70.862,71.422,73.548,69.456,67.855,0,0.036,0.087,20,20,75.223,47.807,0,73.218,72.611,72.621,72.594,56.512,65.003,61.124,-10.82,54.188,85.063,71.75,71.563,70.875,71.438,0,0,72,70,1000,200,0,17.594,72.813,71.438,-0.052,76.188,76.063,73.375,76.875,0,100,72,70,1000,200,-0.002,0,77.938,77.5,0.009,74.563,74.625,73,75.875,0,99.813,72,70,1000,200,-0.001,0,76.188,75.938,0.017,73,74.438,72.375,74.125,0,35.281,72,70,1000,200,0,0,74.438,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.149,0.001,-0.148,0.001,-0.02,0.011,0,0,0.035,0.036,-0.01,0.001,0.001,0
8262007,1,0,1,1,1,100,0,0,0,0,0,0,35.139,35.139,0.012,0.02,0,80,55,1.4,17.594,2.248,2.228,-1.38,70.862,71.209,73.232,69.35,67.855,0,0.04,0.083,20,20,75.055,47.863,0,73.218,72.611,72.621,72.668,56.585,64.794,61.124,-10.828,54.188,85.063,71.5,71.563,70.875,71.438,0,0,72,70,1000,200,0,17.641,72.688,71.438,-0.052,76,75.938,73.375,76.875,0,100,72,70,1000,200,-0.002,0,77.938,77.5,0.008,74.563,74.625,73,75.875,0,99.813,72,70,1000,200,-0.001,0,76.188,76,0.017,73,74.438,72.375,74.313,0,35.281,72,70,1000,200,0,0,74.563,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.011,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.001,0,0,0.001,0.149,-0.148,0.149,0.068,0.011,0,0,0.035,0.035,-0.01,0.001,0,0
8262007,2,0,1,1,1,100,0,0,0,0,0,0,35.139,36.31,0.012,0.02,0,80,55,1.4,17.516,2.248,2.228,0.324,70.862,71.315,73.548,69.456,67.855,0,0.036,0.087,20,20,75.055,47.947,0,73.218,72.537,72.621,72.668,56.512,65.108,61.124,-10.82,54.156,85.063,71.75,71.563,70.875,71.438,0,0,72,70,1000,200,0,17.781,72.813,71.438,-0.052,76,75.938,73.375,77,0,100,72,70,1000,200,-0.002,0,77.938,77.5,0.007,74.625,74.5,73,75.75,0,99.813,72,70,1000,200,-0.001,0,76.375,76,0.017,73,74.438,72.375,74.313,0,35.281,72,70,1000,200,0,0,74.563,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.001,0.001,-0.148,0.149,0.019,0.011,0,0,0.035,0.036,-0.01,0,0.001,0
8262007,3,0,1,1,1,100,0,0,0,0,0,0,35.139,35.139,0.022,0.02,0,80,55,1.4,17.734,2.248,0.462,1.412,71.185,71.422,73.548,69.561,68.069,0,0.036,0.087,20,20,75.504,47.975,0,73.433,72.537,72.727,72.594,56.585,65.108,61.124,-10.82,54.188,85.125,71.75,71.5,70.688,71.438,0,0,72,70,1000,200,0,17.703,72.688,71.438,-0.052,76.188,76.063,73.375,77.125,0,100,72,70,1000,200,-0.002,0,77.938,77.563,0.007,74.625,74.5,73,75.75,0,99.813,72,70,1000,200,-0.001,0,76.188,76,0.017,73,74.438,72.375,74.125,0,35.281,72,70,1000,200,0,0,74.438,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,0,0.001,0.007,0.011,0,0,0.035,0.035,-0.01,0,0,0
8262007,4,0,1,1,1,100,0,0,0,0,0,0,35.139,35.139,0.012,0.005,0,80,55,1.4,17.547,2.248,2.228,-0.551,70.862,71.422,73.443,69.561,67.748,0,0.04,0.087,20,20,75.672,48.115,0,73.11,72.611,72.621,72.594,56.658,64.899,61.197,-10.82,54.156,85.125,71.5,71.563,70.875,71.375,0,0,72,70,1000,200,0,17.719,72.813,71.375,-0.052,76,76.063,73.375,76.875,0,100,72,70,1000,200,-0.002,0,77.938,77.563,0.008,74.563,74.5,73,75.875,0,99.813,72,70,1000,200,-0.001,0,76.188,76,0.017,73,74.438,72.375,74.313,0,35.281,72,70,1000,200,0,0,74.563,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.001,0.001,-0.148,0.149,-0.02,0.003,0,0,0.035,0.035,-0.011,0,0,0
8262007,5,0,1,1,1,100,0,0,0,0,0,0,33.968,35.139,0.012,0.02,0,80,55,1.4,17.594,2.248,2.228,0.351,70.862,71.209,73.232,69.35,67.855,0,0.036,0.087,20,20,75.448,48.199,0,73.218,72.611,72.621,72.668,56.805,64.899,61.27,-10.82,54.125,85.063,71.75,71.563,70.875,71.375,0,0,72,70,1000,200,0,17.563,72.813,71.438,-0.052,76,75.938,73.375,77,0,100,72,70,1000,200,-0.002,0,77.938,77.563,0.008,74.563,74.625,73,75.75,0,99.813,72,70,1000,200,-0.001,0,76.188,76,0.017,73,74.438,72.375,74.125,0,35.281,72,70,1000,200,0,0,74.563,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,-0.148,0.001,0.068,0.011,0,0,0.034,0.035,-0.01,0,0,0
8262007,6,0,1,1,1,100,0,0,0,0,0,0,33.968,36.31,0.012,0.02,0,80,55,1.4,17.547,2.248,2.228,1.385,70.862,71.209,73.232,69.35,67.855,0,0.036,0.087,20,20,75.56,48.339,0,73.218,72.537,72.727,72.594,56.658,65.108,61.27,-10.82,54.156,85.125,71.5,71.5,70.875,71.438,0,0,72,70,1000,200,0,17.563,72.813,71.438,-0.052,76,75.938,73.375,77,0,100,72,70,1000,200,-0.002,0,77.938,77.5,0.009,74.563,74.625,73,75.75,0,99.813,72,70,1000,200,-0.001,0,76.188,76,0.017,73.063,74.438,72.375,74.125,0,35.281,72,70,1000,200,0,0,74.563,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0,0,0.149,0.149,-0.148,0.149,0.004,0.011,0,0,0.034,0.036,-0.01,0.001,0,0
8262007,7,0,1,1,1,100,0,0,0,0,0,0,35.139,35.139,0.012,0.02,0,80,55,1.4,17.453,2.248,2.228,1.414,70.862,71.209,73.337,69.456,67.748,0,0.036,0.087,20,20,75.672,48.199,0,73.11,72.611,72.621,72.668,56.805,65.212,61.27,-10.828,54.094,85.125,71.5,71.563,70.688,71.438,0,0,72,70,1000,200,0,17.469,72.813,71.375,-0.052,75.938,75.938,73.25,77,0,100,72,70,1000,200,-0.002,0,77.938,77.5,0.008,74.563,74.5,73,75.75,0,99.813,72,70,1000,200,-0.001,0,76.188,75.938,0.017,73,74.438,72.375,74.125,0,35.281,72,70,1000,200,0,0,74.563,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,-0.148,0.149,0.068,0.011,0,0,0.035,0.035,-0.011,0.001,0.001,0
8262007,8,0,1,1,1,100,0,0,0,0,0,0,35.139,35.139,0.012,0.02,0,80,55,1.4,17.563,2.248,2.228,2.029,71.077,71.315,73.337,69.35,67.962,0,0.036,0.083,20,20,75.616,48.087,0,73.433,72.537,72.727,72.668,56.878,65.212,61.343,-10.828,54.063,85.125,71.5,71.5,70.875,71.375,0,0,72,70,1000,200,0,17.578,72.813,71.375,-0.052,76,75.938,73.375,76.875,0,100,72,70,1000,200,-0.002,0,77.938,77.5,0.009,74.563,74.625,73,75.75,0,99.813,72,70,1000,200,-0.001,0,76.188,76,0.017,73,74.438,72.375,74.125,0,35.281,72,70,1000,200,0,0,74.563,74.375,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,-0.074,0.001,0.149,-0.148,0.149,0.008,0.011,0,0,0.035,0.035,-0.011,0.001,0,0
8262007,9,0,1,1,1,100,0,0,0,0,0,0,35.139,35.139,0.012,0.02,0,80,55,1.4,17.563,2.248,2.228,-0.295,70.97,71.315,73.443,69.35,67.855,0,0.04,0.087,20,20,75.223,48.115,0,73.11,72.611,72.834,72.668,56.878,65.212,61.343,-10.82,54.063,85.063,71.5,71.563,70.688,71.438,0,0,72,70,1000,200,0,17.703,72.813,71.438,-0.052,76,75.938,73.25,77,0,100,72,70,1000,200,-0.002,0,77.938,77.5,0.008,74.563,74.625,73,75.75,0,99.813,72,70,1000,200,-0.001,0,76.188,76,0.017,73,74.438,72.375,74.313,0,35.281,72,70,1000,200,0,0,74.563,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,-0.148,0,0.149,0.001,-0.148,0.001,0.003,0.011,0,0,0.035,0.035,-0.01,0.001,0,0
