DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
9062007,0,0,1,1,1,100,0,0,0,55,0,0,33.968,35.139,0.012,0.02,0,80,55,1.4,14.789,2.248,0.462,1.979,71.508,71.422,73.443,69.667,68.069,0,0.036,0.083,20,20,75.588,48.479,0,73.755,74.313,73.79,77.174,56.145,65.003,61.634,-10.82,53.781,85.25,72.313,72.063,71.688,72.063,0,0,72,70,1000,200,0,14.961,73.375,72.063,-0.052,76.188,76.625,74.125,77.813,0,100,72,70,1000,200,-0.002,0,78.938,78.5,0.01,76.375,76.188,74.188,77.563,0,100,72,70,1000,200,-0.001,0,77.938,77.688,0.017,74.25,75.438,73.375,75.063,0,36.75,72,70,1000,200,-0.001,0,75.313,75.125,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,0,0.001,-0.066,0.012,0,0,0.034,0.035,-0.01,0.001,0.001,0
9062007,1,0,1,1,1,100,0,0,0,55,0,0,33.968,35.139,0.012,0.02,0,80,55,1.4,14.828,2.248,2.228,1.578,71.508,71.528,73.443,69.561,68.176,0,0.04,0.083,20,20,75.924,48.479,0,73.755,74.313,73.684,77.174,56.072,65.003,61.707,-10.82,53.75,85.313,72.125,72.063,71.688,71.938,0,0,72,70,1000,200,0,14.789,73.375,71.938,-0.052,76.313,76.5,74.125,77.688,0,100,72,70,1000,200,-0.002,0,78.938,78.5,0.01,76.313,76.313,74.188,77.563,0,100,72,70,1000,200,-0.001,0,77.938,77.688,0.017,74.25,75.438,73.5,75.188,0,36.75,72,70,1000,200,-0.001,0,75.313,75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.149,-0.148,0.149,-0.055,0.013,0,0,0.034,0.035,-0.011,0.001,0.001,0
9062007,2,0,1,1,1,100,0,0,0,55,0,0,33.968,35.139,0.012,0.02,0,80,55,1.4,14.773,2.248,2.228,1.277,71.4,71.528,73.443,69.667,68.069,0,0.04,0.087,20,20,75.868,48.536,0,73.755,74.313,73.684,77.174,56.145,64.794,61.634,-10.82,53.75,85.25,72.125,72.063,71.75,71.938,0,0,72,70,1000,200,0,14.852,73.375,72.063,-0.052,76.188,76.5,74.125,77.688,0,100,72,70,1000,200,-0.002,0,78.75,78.5,0.01,76.313,76.313,74.188,77.563,0,100,72,70,1000,200,-0.001,0,77.938,77.813,0.017,74.25,75.438,73.5,75.188,0,36.75,72,70,1000,200,-0.001,0,75.313,75.125,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.001,0.149,-0.148,0.149,-0.055,0.013,0,0,0.034,0.035,-0.01,0,0,0
9062007,3,0,1,1,1,100,0,0,0,55,0,0,33.968,35.139,0.012,0.02,0,80,55,1.4,15,2.248,2.228,2.128,71.4,71.528,73.443,69.667,68.069,0,0.036,0.083,20,20,75.784,48.536,0,73.755,74.387,73.684,77.174,56.145,64.794,61.707,-10.82,53.75,85.25,72.125,72.063,71.688,71.938,0,0,72,70,1000,200,0,14.836,73.375,72.063,-0.052,76.188,76.5,74.125,77.813,0,100,72,70,1000,200,-0.002,0,78.75,78.563,0.01,76.313,76.313,74.188,77.563,0,100,72,70,1000,200,-0.001,0,77.938,77.688,0.017,74.25,75.438,73.5,75.063,0,36.75,72,70,1000,200,-0.001,0,75.313,75.125,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,-0.148,0.149,-0.048,0.013,0,0,0.034,0.035,-0.01,0,0.001,0
9062007,4,0,1,1,1,100,0,0,0,55,0,0,33.968,35.139,0.012,0.02,0,80,55,1.4,14.789,2.248,2.228,1.411,71.508,71.528,73.337,69.667,68.069,0,0.04,0.083,20,20,75.924,48.564,0,73.755,74.239,73.79,77.1,56.145,65.003,61.634,-10.82,53.75,85.25,72.125,72.063,71.688,72.063,0,0,72,70,1000,200,0,14.805,73.375,72.063,-0.052,76.188,76.5,74.125,77.813,0,100,72,70,1000,200,-0.002,0,78.938,78.5,0.01,76.313,76.188,74.438,77.563,0,100,72,70,1000,200,-0.001,0,77.938,77.688,0.017,74.375,75.438,73.5,75.063,0,36.75,72,70,1000,200,0,0,75.313,75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,0,0.001,-0.076,0.012,0,0,0.034,0.035,-0.01,0.001,0.001,0
9062007,5,0,1,1,1,100,0,0,0,55,0,0,33.968,35.139,0.012,0.02,0,80,55,1.4,14.789,2.248,0.462,0.461,71.508,71.528,73.443,69.667,68.069,0,0.036,0.083,20,20,75.728,48.564,0,73.862,74.313,73.684,77.1,56.292,64.899,61.78,-10.82,53.688,85.25,72.125,72.063,71.688,71.938,0,0,72,70,1000,200,0,14.805,73.375,72.063,-0.052,76.188,76.5,74.125,77.813,0,100,72,70,1000,200,-0.002,0,78.938,78.5,0.009,76.313,76.313,74.438,77.563,0,100,72,70,1000,200,-0.001,0,77.938,77.688,0.017,74.25,75.438,73.5,75.063,0,36.75,72,70,1000,200,0,0,75.313,75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0.147,0.149,0.001,0,0.149,-0.053,0.013,0,0,0.034,0.035,-0.01,0.001,0.001,0
9062007,6,0,1,1,1,100,0,0,0,55,0,0,33.968,35.139,0.012,0.02,0,80,55,1.4,14.688,2.248,2.228,2.112,71.508,71.528,73.443,69.667,68.176,0,0.04,0.087,20,20,75.84,48.564,0,73.755,74.387,73.684,77.1,56.219,64.899,61.707,-10.82,53.688,85.25,72.313,72.063,71.75,72.063,0,0,72,70,1000,200,0,14.953,73.5,72.063,-0.052,76.188,76.5,74.125,77.688,0,100,72,70,1000,200,-0.002,0,78.938,78.5,0.009,76.375,76.125,74.188,77.563,0,100,72,70,1000,200,-0.001,0,77.938,77.688,0.017,74.25,75.438,73.5,75.188,0,36.75,72,70,1000,200,0,0,75.438,75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,-0.148,0.001,-0.046,0.013,0,0,0.034,0.035,-0.011,0.001,0.001,0
9062007,7,0,1,1,1,100,0,0,0,55,0,0,33.968,35.139,0.012,0.02,0,80,55,1.4,14.883,2.248,2.228,0.631,71.508,71.528,73.337,69.772,68.176,0,0.036,0.083,20,20,75.448,48.564,0,73.755,74.387,73.577,77.174,56.365,65.108,61.78,-10.82,53.656,85.25,72.125,72.063,71.688,71.938,0,0,72,70,1000,200,0,14.867,73.375,72.063,-0.052,76.188,76.5,74.125,77.688,0,100,72,70,1000,200,-0.002,0,78.75,78.563,0.009,76.375,76.188,74.438,77.563,0,100,72,70,1000,200,-0.001,0,78,77.688,0.017,74.25,75.438,73.5,75.188,0,36.75,72,70,1000,200,0,0,75.313,75.125,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,-0.041,0.012,0,0,0.034,0.035,-0.01,0,0.001,0
9062007,8,0,1,1,1,100,0,0,0,55,0,0,33.968,35.139,0.022,0.02,0,80,55,1.4,14.766,2.248,0.462,0.507,71.615,71.528,73.337,69.667,68.176,0,0.036,0.083,20,20,75.7,48.564,0,73.755,74.387,73.684,77.1,56.365,65.108,61.852,-10.82,53.656,85.25,72.125,72.063,71.688,72.063,0,0,72,70,1000,200,0,14.922,73.375,72.063,-0.052,76.188,76.5,74.125,77.688,0,100,72,70,1000,200,-0.002,0,78.938,78.5,0.009,76.313,76.188,74.188,77.563,0,100,72,70,1000,200,-0.001,0,77.938,77.688,0.017,74.25,75.438,73.5,75.063,0,36.75,72,70,1000,200,0,0,75.313,75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0.147,0.149,0.001,-0.148,0.149,-0.085,0.013,0,0,0.034,0.035,-0.01,0.001,0.001,0
9062007,9,0,1,1,1,100,0,0,0,55,0,0,33.968,35.139,0.012,0.02,0,80,55,1.4,15.273,2.248,2.228,1.196,71.508,71.528,73.337,69.667,68.176,0,0.036,0.083,20,20,75.952,48.564,0,73.755,74.313,73.577,77.1,56.439,64.899,61.852,-10.82,53.656,85.313,72.125,72.063,71.688,72.063,0,0,72,70,1000,200,0,15.172,73.375,72.063,-0.052,76.188,76.5,74.125,77.813,0,100,72,70,1000,200,-0.002,0,78.75,78.5,0.009,76.313,76.188,74.188,77.563,0,100,72,70,1000,200,-0.001,0,77.938,77.688,0.017,74.25,75.438,73.5,75.063,0,36.75,72,70,1000,200,0,0,75.313,75.125,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,0,0.001,-0.045,0.013,0,0,0.034,0.035,-0.01,0,0.001,0
