DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
2052008,0,0,1,0,1,100,0,0,0,0,0,0,35.139,35.139,0.011,13.31,0,80,65,1.4,18.719,2.248,7.522,0.321,72.476,69.724,74.704,69.139,70.21,0,-0.018,-0.016,20,20,24.347,23.675,32.689,69.458,88.59,79.845,87.662,43.69,59.362,44.227,-10.82,27.953,25.719,73,150.625,72.375,72.813,0,0,72,70,1000,500,0,18.813,74.625,73.438,0.014,66.25,150.625,70.563,68.063,0,33.563,72,70,1000,500,-0.002,0,71.875,71.625,0.029,66.875,150.625,71.25,70.438,0,37.875,72,70,1000,500,0,0,73.5,72.438,0.042,66.688,150.625,71.25,69.875,0,36.656,72,70,1000,500,-0.001,0,72.75,72.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,-0.074,0.149,0.001,-0.148,0.001,0.001,0.456,0,0,0.035,0.035,0.002,0.001,0.007,0.002
2052008,1,0,1,0,1,100,0,0,0,0,0,0,35.139,35.139,0.011,13.368,0,80,65,1.4,18.797,2.248,7.522,0.35,72.476,69.83,74.809,69.244,70.21,0,-0.018,-0.012,20,20,24.319,23.647,32.709,69.458,88.59,79.845,87.588,43.251,59.466,43.644,-10.82,27.953,25.719,73,150.625,72.438,72.688,0,0,72,70,1000,500,0,18.859,74.625,73.438,0.014,66.25,150.625,70.813,68.063,0,33.563,72,70,1000,500,-0.002,0,71.875,71.625,0.029,66.75,150.625,71.438,70.563,0,37.875,72,70,1000,500,0,0,73.5,72.438,0.035,66.688,150.625,71.125,69.875,0,36.656,72,70,1000,500,-0.001,0,72.938,72.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,0.001,0.324,0,0,0.035,0.035,0.002,0.001,0.005,0.003
2052008,2,0,1,0,1,100,0,0,0,0,0,0,35.139,35.139,0.021,13.354,0,80,65,1.4,18.922,2.248,7.522,0.238,72.584,69.83,74.809,69.244,70.531,0,-0.018,-0.016,20,20,24.319,23.647,32.677,69.566,88.59,79.845,87.588,43.031,59.362,43.425,-10.82,27.953,25.734,73,150.625,72.375,72.813,0,0,72,70,1000,500,0,18.938,74.625,73.688,0.014,66.25,150.625,70.563,68.063,0,33.563,72,70,1000,500,-0.002,0,71.875,71.625,0.029,66.75,150.625,71.438,70.563,0,37.875,72,70,1000,500,0,0,73.5,72.375,0.04,66.813,150.625,71.25,69.75,0,36.656,72,70,1000,500,-0.001,0,72.75,72.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,0.002,0.322,0,0,0.035,0.035,0.002,0.001,0.007,0.003
2052008,3,0,1,0,1,100,0,0,0,0,0,0,36.31,36.31,0.011,13.339,0,80,65,1.4,18.828,2.248,7.522,1.692,72.692,69.83,74.809,69.35,70.424,0,-0.018,-0.016,20,20,24.319,23.675,32.664,69.566,88.516,79.951,87.515,42.958,59.466,43.353,-10.82,27.953,25.734,72.938,150.625,72.438,72.813,0,0,72,70,1000,500,0,18.984,74.625,73.438,0.014,66.25,150.625,70.563,68.063,0,33.563,72,70,1000,500,-0.002,0,71.875,71.625,0.029,66.75,150.625,71.438,70.563,0,37.875,72,70,1000,500,0,0,73.438,72.438,0.034,66.813,150.625,71.25,69.75,0,36.656,72,70,1000,500,-0.001,0,72.75,72.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,0,0.001,0.001,-0.148,-0.072,0.001,0.319,0,0,0.036,0.036,0.002,0.001,0.005,0.003
2052008,4,0,1,0,1,100,0,0,0,0,0,0,35.139,36.31,0.011,13.281,0,80,65,1.4,18.922,2.248,9.286,-0.542,72.476,69.83,74.809,69.244,70.21,0,-0.018,-0.016,20,20,24.319,23.647,32.651,69.458,88.442,79.951,87.515,42.885,59.362,43.207,-10.82,27.938,25.734,72.938,150.625,72.438,72.813,0,0,72,70,1000,500,0,18.828,74.625,73.375,0.014,66.25,150.625,70.563,68.063,0,33.563,72,70,1000,500,-0.002,0,71.875,71.5,0.029,66.813,150.625,71.438,70.438,0,37.875,72,70,1000,500,0,0,73.5,72.438,0.042,66.688,150.625,71.25,69.75,0,36.656,72,70,1000,500,-0.001,0,72.75,72.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,-0.148,-0.074,0.001,0.001,-0.148,0.001,0.001,0.26,0,0,0.035,0.036,0.003,0.002,0.007,0.002
2052008,5,0,1,0,1,100,0,0,0,0,0,0,35.139,35.139,0.021,13.354,0,80,65,1.4,18.938,2.248,7.522,0.286,72.476,69.83,74.809,69.35,70.21,0,-0.018,-0.016,20,20,24.291,23.647,32.651,69.351,88.442,79.845,87.515,42.738,59.362,43.134,-10.82,27.938,25.719,73,150.625,72.438,72.813,0,0,72,70,1000,500,0,18.813,74.688,73.688,0.014,66.25,150.625,70.563,68.063,0,33.563,72,70,1000,500,-0.002,0,71.875,71.5,0.029,66.75,150.625,71.438,70.563,0,37.875,72,70,1000,500,0,0,73.438,72.438,0.034,66.688,150.625,71.25,69.75,0,36.656,72,70,1000,500,-0.001,0,72.75,72.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,-0.148,-0.074,0.001,0.001,-0.148,0.001,0.002,0.318,0,0,0.035,0.035,0.002,0.002,0.005,0.003
2052008,6,0,1,0,1,100,0,0,0,0,0,0,35.139,35.139,0.021,13.354,0,80,65,1.4,18.906,2.248,7.522,0.797,72.476,69.83,74.809,69.244,70.21,0,-0.018,-0.016,20,20,24.319,23.591,32.638,69.458,88.442,79.845,87.441,42.518,59.466,42.916,-10.828,27.906,25.719,72.938,150.625,72.438,72.813,0,0,72,70,1000,500,0,18.828,74.625,73.375,0.014,66.125,150.625,70.563,68.063,0,33.563,72,70,1000,500,-0.002,0,71.75,71.5,0.029,66.75,150.625,71.25,70.438,0,37.875,72,70,1000,500,0,0,73.438,72.375,0.034,66.688,150.625,71.25,69.75,0,36.656,72,70,1000,500,-0.001,0,72.75,72.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0,-0.074,0.001,0.001,-0.148,0.001,0.002,0.314,0,0,0.035,0.035,0.003,0.001,0.005,0.003
2052008,7,0,1,0,1,100,0,0,0,0,0,0,35.139,36.31,0.021,13.383,0,80,65,1.4,18.922,2.248,7.522,0.56,72.476,69.83,74.809,69.244,70.21,0,-0.018,-0.016,20,20,24.291,23.591,32.638,69.458,88.368,79.738,87.367,42.445,59.571,42.843,-10.82,27.922,25.719,72.938,150.625,72.438,72.813,0,0,72,70,1000,500,0,18.75,74.625,73.438,0.014,66.125,150.625,70.563,68.063,0,33.563,72,70,1000,500,-0.002,0,71.75,71.5,0.029,66.75,150.625,71.25,70.438,0,37.875,72,70,1000,500,0,0,73.438,72.375,0.034,66.688,150.625,71.25,69.75,0,36.656,72,70,1000,500,-0.001,0,72.75,72.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,0,-0.072,0.001,-0.148,0.001,0.002,0.311,0,0,0.035,0.036,0.002,0.001,0.005,0.003
2052008,8,0,1,0,1,100,0,0,0,0,0,0,35.139,35.139,0.011,13.398,0,80,65,1.4,18.719,2.248,9.286,0.182,72.476,69.83,74.915,69.244,70.317,0,-0.018,-0.016,20,20,24.319,23.591,32.625,69.351,88.294,79.738,87.293,42.152,59.362,42.551,-10.82,27.922,25.719,72.938,150.625,72.375,72.813,0,0,72,70,1000,500,0,18.859,74.625,73.438,0.014,66.125,150.625,70.563,68,0,33.563,72,70,1000,500,-0.002,0,71.75,71.438,0.029,66.813,150.625,71.438,70.438,0,37.875,72,70,1000,500,0,0,73.438,72.375,0.036,66.688,150.625,71.125,69.625,0,36.656,72,70,1000,500,-0.001,0,72.688,72.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,0.001,0.001,-0.222,-0.072,0.001,0.311,0,0,0.035,0.035,0.002,0.001,0.006,0.002
2052008,9,0,1,0,1,100,0,0,0,0,0,0,35.139,36.31,0.011,13.354,0,80,65,1.4,18.891,2.248,9.286,0.346,72.476,69.83,74.915,69.35,70.317,0,-0.018,-0.016,20,20,24.291,23.563,32.664,69.351,88.294,79.845,87.293,42.005,59.571,42.479,-10.82,27.938,25.719,72.938,150.625,72.375,72.813,0,0,72,70,1000,500,0,18.891,74.625,73.438,0.014,66.25,150.625,70.438,68,0,33.563,72,70,1000,500,-0.002,0,71.75,71.5,0.029,66.75,150.625,71.438,70.438,0,37.875,72,70,1000,500,0,0,73.438,72.375,0.035,66.688,150.625,71.25,69.75,0,36.656,72,70,1000,500,-0.001,0,72.688,72.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,0.001,0.36,0,0,0.035,0.036,0.002,0.001,0.005,0.002
