DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
2112008,0,0,1,0,1,100,0,0,0,0,0,0,35.139,36.31,0.011,13.456,0,80,65,1.4,19.266,2.248,12.81,47.951,70.754,66.859,74.915,66.392,65.928,0,-0.05,-0.038,20,20,8.024,8.708,0.978,58.179,88.516,84.731,89.287,44.643,55.914,44.955,-10.82,10.07,9.508,71.313,69.875,70.438,71.563,0,100,72,70,1000,500,0,19.406,73.313,72.25,0.014,59.813,70.813,71.188,63.125,100,100,72,70,1000,500,-0.002,0,117.25,117.125,3.305,62.844,70.375,70.5,70.75,100,100,72,70,1000,500,0,0,116.75,116.188,3.361,62.438,74.188,70.125,69.25,100,100,72,70,1000,500,-0.001,0,114.688,114.188,3.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,-0.072,0.001,-0.222,0.001,-0.002,0.372,0,0,0.035,0.036,0.002,0.06,0.273,0.25
2112008,1,0,1,0,1,100,0,0,0,0,0,0,35.139,35.139,0.011,13.383,0,80,65,1.4,22.438,2.248,14.572,26.55,70.754,66.753,75.02,66.392,66.035,0,-0.05,-0.041,20,20,8.024,8.736,0.952,58.287,88.516,84.519,89.287,44.643,56.018,45.028,-10.82,10.078,9.508,71.438,69.875,70.563,71.438,0,100,72,70,1000,500,0,19.391,73.313,72.188,0.014,59.813,70.813,71.188,63.125,100,100,72,70,1000,500,-0.002,0,117.5,117.563,3.307,62.844,70.375,70.5,70.75,100,100,72,70,1000,500,0,3.889,117.625,117.375,3.357,62.438,74.188,70.125,69.25,100,100,72,70,1000,500,-0.001,0,116.375,115.813,3.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,-0.072,-0.002,0.453,0,0,0.035,0.035,0.002,-0.03,0.121,0.281
2112008,2,0,1,0,1,100,0,0,0,0,0,0,35.139,36.31,0.021,13.368,0,80,65,1.4,24.219,2.248,12.81,27.266,70.647,66.966,75.125,66.392,65.928,0,-0.054,-0.041,20,20,8.024,8.736,0.991,58.072,88.368,84.519,89.213,44.57,55.914,44.955,-10.82,10.078,9.5,71.313,69.875,70.563,71.438,0,100,72,70,1000,500,0,19.313,73.313,72.188,0.014,59.813,70.813,71.188,63.125,100,100,72,70,1000,500,-0.002,0,116.938,116.938,3.307,62.719,70.375,70.5,70.75,100,100,72,70,1000,500,0,4.48,117.188,117.063,3.35,62.438,74.188,70.125,69.25,100,100,72,70,1000,500,-0.001,0,117.5,116.938,3.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.297,-0.148,-0.074,-0.072,0.001,-0.222,-0.072,-0.005,0.454,0,0,0.035,0.036,0.002,0,0.06,0.281
2112008,3,0,1,0,1,100,0,0,0,0,0,0,35.139,36.31,0.011,13.427,0,80,65,1.4,23.484,2.248,16.333,43.901,70.647,66.753,75.125,66.392,66.035,0,-0.054,-0.038,20,20,7.996,8.736,0.991,57.965,88.368,84.519,89.14,44.57,56.018,44.955,-10.82,10.07,9.508,71.313,69.875,70.438,71.563,0,100,72,70,1000,500,0,19.297,73.313,72.188,0.014,59.875,70.813,71.188,63.031,100,100,72,70,1000,500,-0.002,0,115.875,115.938,3.305,62.844,70.375,70.5,70.75,100,100,72,70,1000,500,0,3.479,116.125,116.25,3.35,62.438,74.188,70.125,69.25,100,100,72,70,1000,500,-0.001,0,117.188,116.938,3.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,-0.072,-0.072,-0.148,-0.072,-0.002,0.452,0,0,0.035,0.036,0.002,-0.03,-0.061,0.125
2112008,4,0,1,0,1,100,0,0,0,0,0,0,35.139,35.139,0.021,13.383,0,80,65,1.4,23.813,2.248,16.333,17.716,70.647,66.753,75.125,66.392,65.928,0,-0.05,-0.041,20,20,8.052,8.736,0.991,58.072,88.294,84.625,89.14,44.643,56.018,44.955,-10.82,10.086,9.492,71.438,69.938,70.563,71.438,0,100,72,70,1000,500,0,19.297,73.313,72.188,0.014,59.813,70.875,71.188,63.125,100,100,72,70,1000,500,-0.002,0,115,115,3.307,62.719,70.375,70.438,70.75,100,100,72,70,1000,500,0,0,115,115.188,3.357,62.438,74.188,70.125,69.313,100,100,72,70,1000,500,-0.001,0,116.313,116,3.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.007,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,0.001,0.001,-0.222,-0.072,-0.005,0.367,0,0,0.035,0.035,0.002,0,-0.091,0.156
2112008,5,0,1,0,1,100,0,0,0,0,0,0,35.139,35.139,0.011,13.412,0,80,65,1.4,22.029,2.248,18.093,37.973,70.754,66.753,75.125,66.392,66.035,0,-0.05,-0.041,20,20,8.024,8.736,1.024,58.179,88.294,84.519,89.14,44.643,56.018,44.955,-10.82,10.07,9.5,71.313,69.938,70.438,71.438,0,100,72,70,1000,500,0,19.234,73.313,72.188,0.014,59.813,70.875,71.188,63.031,100,100,72,70,1000,500,-0.002,0,115.5,115.125,3.311,62.844,70.313,70.5,70.75,100,100,72,70,1000,500,0,3.086,114.5,114.438,3.355,62.438,74.188,70.125,69.25,100,100,72,70,1000,500,-0.001,0,115.188,115,3.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.148,-0.074,-0.072,0.001,-0.222,0.001,-0.002,0.368,0,0,0.035,0.035,0.002,0.179,0.03,0.094
2112008,6,0,1,0,1,100,0,0,0,0,0,0,35.139,36.31,0.011,13.354,0,80,65,1.4,21.455,2.248,16.333,16.62,70.647,66.753,75.23,66.392,65.928,0,-0.05,-0.041,20,20,8.024,8.764,1.05,58.072,87.998,84.519,88.918,44.643,56.123,44.955,-10.82,10.063,9.5,71.313,70.063,70.438,71.438,0,100,72,70,1000,500,0,19.234,73.313,72.188,0.014,59.813,70.875,71.188,63.031,100,100,72,70,1000,500,-0.002,0,115.5,115.125,3.311,62.844,70.313,70.5,70.75,100,100,72,70,1000,500,0,3.086,114.5,114.438,3.355,62.438,74.25,70.125,69.25,100,100,72,70,1000,500,-0.001,0,115.188,115,3.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.148,-0.074,-0.072,0.001,-0.222,-0.072,-0.003,0.363,0,0,0.035,0.036,0.002,0.179,0.03,0.094
2112008,7,0,1,0,1,100,0,0,0,0,0,0,35.139,36.31,0.011,13.485,0,80,65,1.4,22.717,2.248,16.333,32.928,70.862,66.859,75.23,66.392,66.142,0,-0.05,-0.038,20,20,8.052,8.764,1.166,58.287,88.146,84.519,89.066,44.643,56.123,45.028,-10.82,10.086,9.492,71.313,70.063,70.438,71.438,0,100,72,70,1000,500,0,19.234,73.313,72.188,0.014,59.813,70.875,71.188,63.031,100,100,72,70,1000,500,-0.002,0,115.5,115.125,3.311,62.844,70.375,70.5,70.75,100,100,72,70,1000,500,0,3.086,114.5,114.438,3.355,62.438,74.25,70.125,69.25,100,100,72,70,1000,500,-0.001,0,115.188,115,3.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,-0.072,-0.072,-0.222,-0.072,-0.003,0.452,0,0,0.035,0.036,0.002,0.179,0.03,0.094
2112008,8,0,1,0,1,100,0,0,0,0,0,0,35.139,36.31,0.011,13.398,0,80,65,1.4,22.717,2.248,21.612,15.397,70.754,66.859,75.23,66.498,66.035,0,-0.054,-0.041,20,20,8.052,8.792,1.231,58.072,88.146,84.306,89.066,44.643,56.018,45.028,-10.82,10.078,9.492,71.313,70.188,70.438,71.438,0,100,72,70,1000,500,0,19.234,73.313,72.188,0.014,59.813,70.813,71.188,63.031,100,100,72,70,1000,500,-0.002,0,115.5,115.125,3.311,62.844,70.375,70.5,70.75,100,100,72,70,1000,500,0,3.086,114.5,114.438,3.355,62.438,74.313,70.125,69.25,100,100,72,70,1000,500,-0.001,0,115.188,115,3.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,-0.072,0.001,-0.222,0.001,-0.003,0.453,0,0,0.035,0.036,0.002,0.179,0.03,0.094
2112008,9,0,1,0,1,100,0,0,0,0,0,0,35.139,36.31,0.011,13.383,0,80,65,1.4,22.717,2.248,14.572,45.892,70.647,66.966,75.44,66.603,66.035,0,-0.054,-0.041,20,20,8.052,8.764,1.244,58.179,88.146,84.412,89.066,44.716,56.123,45.028,-10.82,10.063,9.477,71.313,70.438,70.438,71.438,0,100,72,70,1000,500,0,19.234,73.313,72.188,0.014,59.813,70.813,71.188,63.031,100,100,72,70,1000,500,-0.002,0,115.5,115.125,3.311,62.844,70.375,70.5,70.75,100,100,72,70,1000,500,0,3.086,114.5,114.438,3.355,62.438,74.375,70.125,69.25,100,100,72,70,1000,500,-0.001,0,115.188,115,3.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.222,-0.074,-0.072,0.001,-0.222,0.001,-0.003,0.366,0,0,0.035,0.036,0.002,0.179,0.03,0.094
