DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
2092008,0,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.078,0,80,65,1.4,55.891,14.569,3.107,12.528,70.551,67.187,71.635,67.067,67.363,0,-0.04,-0.037,20,20,17.741,17.471,22.093,66.712,92.99,81.589,93.797,45.961,59.372,45.704,-10.852,110,110,71.188,74,70,69.875,0,0,72,70,1000,500,0,16.234,71.375,70.375,0.012,64.5,73,70.438,67.563,0,0,72,70,1000,500,0.001,39.719,71.875,71.625,0.022,66.125,71.375,71.5,69.688,0,39.813,72,70,1000,500,0,0,74.5,74,0.026,63.906,71,68.813,65.875,0,38.844,72,70,1000,500,0,0,70.313,71.438,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,0.001,0.001,-0.148,0.001,-0.001,-0.251,0,0,0.035,0.035,0.002,0.001,0.002,-0.004
2092008,1,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.064,0,80,65,1.4,55.797,14.569,3.107,5.371,70.551,67.401,71.852,67.067,67.363,0,-0.037,-0.037,20,20,17.741,17.471,22.054,66.712,92.99,81.589,93.797,45.961,59.267,45.777,-10.852,110,110,71.188,74,70,69.75,0,0,72,70,1000,500,0,16.406,71.375,70.375,0.012,64.5,73,70.438,67.5,0,0,72,70,1000,500,0.001,39.75,71.875,71.625,0.022,66.375,71.375,71.563,69.813,0,39.813,72,70,1000,500,0,0,74.5,74,0.026,63.906,70.438,68.813,65.875,0,38.844,72,70,1000,500,0,0,70.313,71.438,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0,-0.074,0.001,0.001,-0.222,0.001,-0.001,-0.181,0,0,0.035,0.035,0.002,0.001,0.002,-0.004
2092008,2,0,1,0,1,100,0,0,0,0,0,0,36.3,35.129,0.01,13.107,0,80,65,1.4,56.219,14.569,4.643,11.096,70.338,67.508,71.96,66.847,67.146,0,-0.037,-0.033,20,20,17.741,17.471,22.015,66.497,92.843,81.589,93.723,45.961,59.477,45.777,-10.852,110,110,71.188,74,70,69.75,0,0,72,70,1000,500,0,16.203,71.438,70.375,0.012,64.5,73,70.313,67.563,0,0,72,70,1000,500,0.001,39.75,71.813,71.625,0.022,66.375,71.375,71.5,69.688,0,39.813,72,70,1000,500,0,0,74.375,74.25,0.026,63.906,70.5,68.813,65.813,0,38.844,72,70,1000,500,0,0,70.313,71.375,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,0,-0.074,0.001,0.001,-0.148,0.001,-0.001,-0.178,0,0,0.036,0.035,0.002,0.001,0,-0.004
2092008,3,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.078,0,80,65,1.4,56.094,14.569,3.107,23.978,70.338,67.401,71.852,67.067,67.146,0,-0.04,-0.037,20,20,17.714,17.471,22.002,66.604,92.843,81.482,93.649,45.961,59.477,45.777,-10.852,110,110,71.313,74,70,69.75,0,0,72,70,1000,500,0,16.266,71.438,70.375,0.012,64.5,73.063,70.438,67.5,0,0,72,70,1000,500,0.001,39.75,71.813,71.563,0.022,66.125,71.375,71.5,69.813,0,39.813,72,70,1000,500,0,0,74.375,74,0.026,63.906,70.75,68.563,65.813,0,38.844,72,70,1000,500,0,0,70.313,71.375,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,-0.074,0.001,0.001,-0.148,0.001,-0.001,-0.178,0,0,0.035,0.035,0.002,0.001,0.001,-0.004
2092008,4,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.078,0,80,65,1.4,56.281,14.569,4.643,5.371,70.338,67.508,71.96,66.847,67.146,0,-0.04,-0.037,20,20,17.714,17.471,22.015,66.497,92.769,81.482,93.576,45.961,59.477,45.777,-10.852,110,110,71.188,74,70,69.75,0,0,72,70,1000,500,0,16.203,71.375,70.375,0.012,64.375,73.125,70.438,67.563,0,0,72,70,1000,500,0.001,39.813,71.813,71.563,0.022,66.125,71.313,71.438,69.688,0,39.813,72,70,1000,500,0,0,74.375,73.938,0.026,63.906,70.563,68.813,65.875,0,38.844,72,70,1000,500,0,0,70.313,71.375,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,0.001,0.001,-0.148,0.001,-0.001,-0.178,0,0,0.035,0.035,0.002,0.001,0.002,-0.004
2092008,5,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.049,0,80,65,1.4,56.453,14.569,3.107,18.253,70.551,67.401,71.852,67.067,67.146,0,-0.037,-0.033,20,20,17.714,17.471,22.08,66.497,92.695,81.376,93.502,45.961,59.372,45.777,-10.852,110,110,71.188,74,70,69.75,0,0,72,70,1000,500,0,16.5,71.375,70.375,0.012,64.375,73.125,70.313,67.5,0,0,72,70,1000,500,0.001,39.75,71.813,71.563,0.022,66.125,71.375,71.5,69.688,0,39.813,72,70,1000,500,0,0,74.375,74,0.026,63.906,70.875,68.813,65.813,0,38.844,72,70,1000,500,0,0,70.313,71.25,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.031,0.007,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,-0.148,-0.074,0.001,0.001,-0.148,0.001,-0.001,-0.179,0,0,0.035,0.035,0.002,0.001,0.001,-0.004
2092008,6,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.049,0,80,65,1.4,55.844,14.569,3.107,16.822,70.444,67.401,71.96,67.067,67.363,0,-0.04,-0.037,20,20,17.714,17.443,22.132,66.712,92.843,81.482,93.649,46.034,59.372,45.85,-10.852,110,110,71.188,74,69.813,69.875,0,0,72,70,1000,500,0,16.016,71.375,70.375,0.012,64.5,73.125,70.438,67.563,0,0,72,70,1000,500,0.001,39.656,71.813,71.375,0.022,66.125,71.375,71.5,69.813,0,39.813,72,70,1000,500,0,0,74.375,73.938,0.026,63.906,70.875,68.563,65.813,0,38.844,72,70,1000,500,0,0,70.125,71.25,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.149,-0.222,0,0.001,0.001,-0.148,0.001,-0.001,-0.18,0,0,0.035,0.035,0.002,0.001,0.002,-0.004
2092008,7,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.006,0,80,65,1.4,56.031,14.569,3.107,9.665,70.551,67.401,71.96,66.847,67.146,0,-0.04,-0.037,20,20,17.714,17.443,22.145,66.712,92.769,81.269,93.576,45.961,59.372,45.777,-10.852,110,110,71.313,74,70,69.75,0,0,72,70,1000,500,0,16.063,71.375,70.375,0.012,64.5,73.063,70.438,67.5,0,0,72,70,1000,500,0.001,39.875,71.813,71.563,0.022,66.125,71.313,71.5,69.813,0,39.813,72,70,1000,500,0,0,74.375,73.938,0.026,63.906,70.625,68.813,65.813,0,38.844,72,70,1000,500,0,0,70.125,71.25,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,-0.072,0.001,-0.148,0.001,-0.001,-0.178,0,0,0.035,0.035,0.002,0.001,0.002,-0.004
2092008,8,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.107,0,80,65,1.4,56.391,14.569,3.107,12.528,70.551,67.508,71.96,67.067,67.146,0,-0.04,-0.037,20,20,17.686,17.443,22.119,66.497,92.548,81.269,93.354,44.944,59.372,44.902,-10.852,110,110,71.313,74,70,69.875,0,0,72,70,1000,500,0,16.219,71.438,70.375,0.012,64.375,73.063,70.313,67.5,0,0,72,70,1000,500,0.001,39.875,71.813,71.375,0.022,66.125,71.25,71.5,69.688,0,39.813,72,70,1000,500,0,0,74.188,73.938,0.026,63.906,71.438,68.563,65.813,0,38.844,72,70,1000,500,0,0,70.125,71.25,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.149,-0.001,-0.038,0,0,0.035,0.035,0.002,0.001,0.001,-0.004
2092008,9,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.078,0,80,65,1.4,56.234,14.569,4.643,18.253,70.551,67.294,71.96,66.847,67.146,0,-0.04,-0.033,20,20,17.714,17.443,22.08,66.497,92.474,81.269,93.28,44.435,59.372,44.319,-10.852,110,110,71.188,74,69.813,69.875,0,0,72,70,1000,500,0,16.219,71.375,70.25,0.012,64.5,73.125,70.313,67.5,0,0,72,70,1000,500,0.001,39.969,71.813,71.375,0.022,66.125,71.188,71.5,69.688,0,39.813,72,70,1000,500,0,0,74.188,73.938,0.026,63.906,70.5,68.813,65.813,0,38.844,72,70,1000,500,0,0,70.125,71.188,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,0.001,0.001,-0.148,0.001,-0.001,-0.102,0,0,0.035,0.035,0.002,0.001,0.001,-0.004
