DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
9062007,0,0,1,1,1,100,0,0,0,0,0,0,33.958,33.958,-0.005,-0.011,0,80,55,1.4,43.25,38.529,6.179,-0.356,71.297,69.722,72.718,67.396,67.193,0,0.031,0.037,20,20,58.334,50.956,73.279,74.214,117.403,100.001,118.608,57.445,66.19,62.694,-10.867,110,110,71.375,70.5,69.563,69.25,0,0,72,70,1000,200,0,18.266,70.5,68.813,-0.026,76.375,78.063,76.125,77.313,0,0,72,70,1000,200,0,24.781,79.625,77.75,0,75.5,77.75,74.25,77,0,32.656,72,70,1000,200,-0.004,0,79.313,77.563,-0.004,75.563,75.063,76.438,76.375,0,38.844,72,70,1000,200,-0.001,0,78.25,77,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,0,0.001,0,-0.007,0,0,0.034,0.034,-0.006,0,-0.001,0.004
9062007,1,0,1,1,1,100,0,0,0,0,0,0,33.958,33.958,-0.005,-0.011,0,80,55,1.4,43.266,38.529,7.715,1.076,71.297,69.83,72.718,67.286,67.085,0,0.031,0.037,20,20,58.306,50.533,73.15,74.107,117.182,99.895,118.46,57.445,66.19,62.694,-10.852,110,110,71.375,70.5,69.563,69.25,0,0,72,70,1000,200,0,18.313,70.5,68.813,-0.026,76.375,77.813,76.125,77.25,0,0,72,70,1000,200,0,24.953,79.5,77.75,0,75.5,77.75,74.25,77.125,0,32.656,72,70,1000,200,-0.004,0,79.313,77.563,-0.004,75.563,75,76.438,76.375,0,38.844,72,70,1000,200,-0.001,0,78.25,77,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.149,-0.148,0.149,0,-0.007,0,0,0.034,0.034,-0.006,0,-0.001,0.004
9062007,2,0,1,1,1,100,0,0,0,0,0,0,33.958,33.958,-0.005,-0.011,0,80,55,1.4,43.141,38.529,7.715,1.076,71.297,69.722,72.609,67.286,67.302,0,0.031,0.037,20,20,58.306,50.59,73.15,74.214,117.034,99.788,118.313,57.518,66.295,62.694,-10.852,110,110,71.375,70.688,69.5,69.25,0,0,72,70,1000,200,0,18.359,70.5,68.813,-0.026,76.25,77.813,76.125,77.313,0,0,72,70,1000,200,0,25.016,79.5,77.75,0,75.5,77.75,74.25,77,0,32.656,72,70,1000,200,-0.004,0,79.313,77.563,-0.004,75.563,75,76.438,76.188,0,38.844,72,70,1000,200,-0.001,0,78.25,77,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.001,0.149,-0.148,0.149,0,-0.006,0,0,0.034,0.034,-0.006,0,-0.001,0.004
9062007,3,0,1,1,1,100,0,0,0,0,0,0,33.958,33.958,-0.005,-0.011,0,80,55,1.4,43.063,38.529,9.252,1.076,71.404,69.722,72.718,67.396,67.302,0,0.031,0.037,20,20,58.278,50.73,73.15,74.214,116.887,99.682,118.165,57.518,66.295,62.767,-10.852,110,110,71.375,70.5,69.5,69.25,0,0,72,70,1000,200,0,18.281,70.5,68.688,-0.026,76.25,77.813,76.125,77.313,0,0,72,70,1000,200,0,24.844,79.625,77.75,0,75.5,77.75,74.25,77.125,0,32.656,72,70,1000,200,-0.004,0,79.438,77.563,-0.004,75.563,75,76.438,76.375,0,38.844,72,70,1000,200,-0.001,0,78.25,77,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,-0.148,0.149,0,-0.007,0,0,0.034,0.034,-0.007,0,-0.001,0.004
9062007,4,0,1,1,1,100,0,0,0,0,0,0,33.958,33.958,-0.005,-0.011,0,80,55,1.4,43.281,38.529,6.179,-0.356,71.404,69.83,72.718,67.286,67.302,0,0.031,0.037,20,20,58.278,50.702,73.15,74.214,116.739,99.682,118.091,57.591,66.295,62.767,-10.852,110,110,71.313,70.688,69.563,69.25,0,0,72,70,1000,200,0,18.328,70.5,68.813,-0.026,76.25,77.813,76.125,77.313,0,0,72,70,1000,200,0,24.766,79.625,77.75,0,75.5,77.625,74.375,77.125,0,32.656,72,70,1000,200,-0.004,0,79.313,77.563,-0.004,75.563,75,76.438,76.375,0,38.844,72,70,1000,200,-0.001,0,78.25,77,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,0,0.001,0,-0.007,0,0,0.034,0.034,-0.006,0,-0.001,0.004
9062007,5,0,1,1,1,100,0,0,0,0,0,0,33.958,33.958,-0.005,-0.011,0,80,55,1.4,43.281,38.529,7.715,1.076,71.297,69.83,72.718,67.177,67.302,0,0.031,0.037,20,20,58.278,50.646,73.15,74.214,116.592,99.576,117.944,57.663,66.295,62.767,-10.867,110,110,71.313,70.5,69.5,69.25,0,0,72,70,1000,200,0,18.297,70.313,68.813,-0.026,76.25,78.063,76.125,77.313,0,0,72,70,1000,200,0,24.75,79.625,77.75,0,75.375,77.75,74.25,77.125,0,32.656,72,70,1000,200,-0.004,0,79.313,77.563,-0.004,75.563,75.063,76.438,76.375,0,38.844,72,70,1000,200,-0.001,0,78.25,77,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0.147,0.149,0.001,0,0.149,0,-0.007,0,0,0.034,0.034,-0.006,0,-0.001,0.004
9062007,6,0,1,1,1,100,0,0,0,0,0,0,33.958,33.958,-0.005,-0.011,0,80,55,1.4,43.078,38.529,9.252,-0.356,71.297,69.83,72.718,67.396,67.193,0,0.031,0.037,20,20,58.25,50.956,73.117,74.214,116.444,99.469,117.796,57.663,66.295,62.84,-10.867,110,110,71.375,70.5,69.5,69.25,0,0,72,70,1000,200,0,18.203,70.5,68.688,-0.026,76.25,77.813,76.125,77.313,0,0,72,70,1000,200,0,24.859,79.625,77.75,0,75.5,77.75,74.25,77.125,0,32.656,72,70,1000,200,-0.004,0,79.313,77.563,-0.004,75.563,75,76.438,76.375,0,38.844,72,70,1000,200,-0.001,0,78.25,77,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,-0.148,0.001,0,-0.007,0,0,0.034,0.034,-0.007,0,-0.001,0.004
9062007,7,0,1,1,1,100,0,0,0,0,0,0,33.958,33.958,-0.005,-0.011,0,80,55,1.4,43.328,38.529,6.179,1.076,71.404,69.83,72.609,67.286,67.302,0,0.031,0.037,20,20,58.25,50.928,73.117,74.214,116.444,99.363,117.87,57.809,66.295,62.913,-10.852,110,110,71.375,70.5,69.5,69.25,0,0,72,70,1000,200,0,18.344,70.5,68.875,-0.026,76.25,77.813,76.125,77.313,0,0,72,70,1000,200,0,24.688,79.5,77.75,0,75.5,77.75,74.375,77,0,32.656,72,70,1000,200,-0.004,0,79.313,77.563,-0.004,75.563,75.063,76.438,76.375,0,38.844,72,70,1000,200,-0.001,0,78.25,77,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,0,-0.007,0,0,0.034,0.034,-0.006,0,-0.001,0.004
9062007,8,0,1,1,1,100,0,0,0,0,0,0,33.958,33.958,-0.005,-0.011,0,80,55,1.4,43.109,38.529,9.252,1.076,71.404,69.83,72.609,67.396,67.302,0,0.031,0.037,20,20,58.25,50.787,73.117,74.214,116.149,99.256,117.574,57.736,66.295,62.84,-10.852,110,110,71.313,70.688,69.563,69.25,0,0,72,70,1000,200,0,18.219,70.5,68.813,-0.026,76.25,77.813,76.125,77.313,0,0,72,70,1000,200,0,24.609,79.5,77.75,0,75.5,77.75,74.25,77.125,0,32.656,72,70,1000,200,-0.004,0,79.313,77.688,-0.004,75.563,75,76.438,76.375,0,38.844,72,70,1000,200,-0.001,0,78.125,77,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0.147,0.149,0.001,-0.148,0.149,0,-0.007,0,0,0.034,0.034,-0.006,0,-0.001,0.004
9062007,9,0,1,1,1,100,0,0,0,0,0,0,33.958,33.958,-0.005,-0.011,0,80,55,1.4,42.922,38.529,10.79,1.076,71.297,69.83,72.609,67.396,67.302,0,0.031,0.037,20,20,58.25,50.759,73.117,74.214,116.002,99.043,117.427,57.809,66.295,62.913,-10.852,110,110,71.313,70.688,69.563,69.25,0,0,72,70,1000,200,0,18.203,70.5,68.813,-0.026,76.25,77.813,76.125,77.313,0,0,72,70,1000,200,0,24.813,79.5,77.875,0,75.375,77.75,74.25,77,0,32.656,72,70,1000,200,-0.004,0,79.313,77.563,-0.004,75.5,75.063,76.438,76.375,0,38.844,72,70,1000,200,-0.001,0,78.25,77,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0,0,0.149,0.001,0,0.001,0,-0.007,0,0,0.034,0.034,-0.006,0,-0.001,0.004
