DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
2082008,0,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.107,0,80,65,1.4,40.141,24.652,3.107,16.822,70.764,66.973,70.985,66.518,67.146,0,-0.04,-0.037,20,20,15.851,16.781,22.735,66.712,87.459,80.205,92.911,46.179,59.267,45.996,-10.852,110,110,71.375,150.625,70.313,70.125,0,100,72,70,1000,500,0,16.078,71.813,71.563,0.012,64.188,150.625,76,68.375,100,100,72,70,1000,500,0,24.016,118.188,116.5,3.109,64.375,150.625,72.75,71.063,100,100,72,70,1000,500,0,0,115.688,115.5,3.291,63.844,71.75,71.5,68.25,100,100,72,70,1000,500,0,0,115.125,114.813,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,-0.148,-0.074,0.001,0.001,-0.148,0.001,-0.008,-0.183,0,0,0.035,0.035,0,0.758,0.089,0.151
2082008,1,0,1,0,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.122,0,80,65,1.4,40.047,24.652,3.107,9.665,70.977,67.187,71.202,66.847,67.146,0,-0.04,-0.037,20,20,15.851,16.81,22.722,66.712,87.385,80.312,92.837,46.107,59.057,45.996,-10.852,110,110,71.375,150.625,70.313,70.125,0,100,72,70,1000,500,0,16.047,71.813,71.563,0.012,64.188,150.625,75.813,68.375,100,100,72,70,1000,500,0,23.922,119.875,118.688,0.66,64.563,150.625,72.813,71.063,100,100,72,70,1000,500,0,0,116.875,116.125,0.709,63.844,72,71.5,68.313,100,100,72,70,1000,500,0,0,114.5,114.125,0.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.222,0,0.001,0.001,-0.148,0.001,-0.008,-0.112,0,0,0.035,0.034,0,0.113,0.077,0.037
2082008,2,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.078,0,80,65,1.4,39.969,24.652,3.107,3.939,70.764,67.187,71.202,66.737,67.146,0,-0.04,-0.037,20,20,15.879,16.81,22.722,66.712,87.385,80.205,92.837,46.179,59.162,45.996,-10.852,110,110,71.375,150.625,70.188,70.125,0,100,72,70,1000,500,0,16.219,71.563,71.688,0.012,63.969,150.625,75.813,68.563,100,100,72,70,1000,500,0,24.031,118.313,118.188,0.022,64.375,150.625,72.75,70.938,100,100,72,70,1000,500,0,0,117,116.125,0.026,63.844,72.125,71.688,68.25,100,100,72,70,1000,500,0,0,114.125,113.313,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,0,0.001,-0.072,-0.148,0.001,-0.008,-0.184,0,0,0.035,0.035,0,0,0.003,0.003
2082008,3,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.064,0,80,65,1.4,40.172,24.652,3.107,15.391,70.764,66.973,70.877,66.518,67.363,0,-0.04,-0.037,20,20,15.851,16.81,22.709,66.926,87.311,80.205,92.763,46.179,59.162,45.996,-10.852,110,110,71.375,150.625,70.313,70.125,0,100,72,70,1000,500,0,16.125,71.563,71.563,0.012,64.188,150.625,75.75,68.563,100,100,72,70,1000,500,0,23.969,117.438,117.313,0.022,64.375,150.625,72.75,70.938,100,100,72,70,1000,500,0,0,116.313,115.188,0.026,63.906,71.813,71.5,68.25,100,100,72,70,1000,500,0,0,113.5,112.625,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,0.001,0.001,-0.222,0.001,-0.008,-0.184,0,0,0.035,0.035,0,0,0.004,0.003
2082008,4,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.078,0,80,65,1.4,40.219,24.652,3.107,11.096,70.977,67.187,71.202,66.847,67.146,0,-0.04,-0.037,20,20,15.851,16.81,22.722,66.712,87.237,80.205,92.69,45.453,59.162,45.413,-10.852,110,110,71.375,150.625,70.188,69.938,0,100,72,70,1000,500,0,16.063,71.563,71.563,0.012,64.188,150.625,75.75,68.563,100,100,72,70,1000,500,0,24.031,116.5,116.25,0.022,64.375,150.625,72.813,71,100,100,72,70,1000,500,0,0,115.5,114.375,0.026,63.844,71.625,71.5,68.25,100,100,72,70,1000,500,0,0,112.75,112,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0,-0.074,0.001,0.001,-0.148,0.001,-0.008,-0.038,0,0,0.035,0.035,0,0.001,0.004,0.003
2082008,5,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.078,0,80,65,1.4,40.297,24.652,3.107,15.391,70.764,66.973,70.877,66.628,67.146,0,-0.04,-0.037,20,20,15.879,16.839,22.722,66.712,87.164,80.099,92.616,44.726,59.162,44.683,-10.852,110,110,71.375,150.625,70.188,70.125,0,100,72,70,1000,500,0,15.969,71.563,71.563,0.012,63.969,150.625,75.75,68.563,100,100,72,70,1000,500,0,23.891,115.75,115.688,0.022,64.375,150.625,72.75,71,100,100,72,70,1000,500,0,0,114.813,113.75,0.026,63.844,72.063,71.688,68.25,100,100,72,70,1000,500,0,0,112.188,111.438,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,0,-0.072,0.149,-0.148,0.149,-0.008,-0.039,0,0,0.035,0.035,0,0,0.004,0.003
2082008,6,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.064,0,80,65,1.4,39.875,24.652,3.107,8.234,70.977,66.973,70.985,66.628,67.146,0,-0.04,-0.037,20,20,15.879,16.839,22.722,66.819,87.09,80.099,92.542,44.435,59.372,44.319,-10.852,110,110,71.375,150.625,70.313,69.938,0,100,72,70,1000,500,0,16.125,71.563,71.563,0.012,63.969,150.625,75.625,68.625,100,100,72,70,1000,500,0,24.063,115.063,114.938,0.022,64.313,150.625,72.75,71,100,100,72,70,1000,500,0,0,114.188,113.5,0.026,63.844,71.75,71.5,68.188,100,100,72,70,1000,500,0,0,111.563,110.875,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,0.001,0.001,-0.148,0.001,-0.008,-0.101,0,0,0.035,0.035,0,0,0.003,0.003
2082008,7,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.02,0,80,65,1.4,40.094,24.652,3.107,6.802,70.764,67.187,71.202,66.737,67.363,0,-0.04,-0.037,20,20,15.851,16.839,22.722,66.926,87.016,79.992,92.468,44.217,59.267,44.1,-10.852,110,110,71.375,150.625,70.188,70.125,0,100,72,70,1000,500,0,16.313,71.563,71.688,0.012,64.188,150.625,75.625,68.563,100,100,72,70,1000,500,0,24.016,114.5,114.438,0.022,64.375,150.625,72.75,70.938,100,100,72,70,1000,500,0,0,113.313,112.875,0.026,63.844,71.813,71.688,68.188,100,100,72,70,1000,500,0,0,110.938,110.5,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-0.148,0,0.001,0.001,-0.148,-0.072,-0.008,-0.101,0,0,0.035,0.035,0,0,0.002,0.002
2082008,8,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.049,0,80,65,1.4,40.203,24.652,3.107,12.528,70.764,67.08,70.985,66.628,67.146,0,-0.04,-0.037,20,20,15.879,16.839,22.709,66.819,87.016,80.099,92.468,44.144,59.162,44.027,-10.852,110,110,71.375,150.625,70.188,70.125,0,100,72,70,1000,500,0,16.281,71.563,71.563,0.012,63.969,150.625,75.5,68.625,100,100,72,70,1000,500,0,23.953,113.75,113.625,0.022,64.313,150.625,72.75,70.938,100,100,72,70,1000,500,0,0,112.75,112.25,0.026,63.844,71.75,71.688,68.188,100,100,72,70,1000,500,0,0,110.375,110,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,0.001,0.001,-0.148,0.001,-0.008,-0.102,0,0,0.035,0.035,0,0,0.002,0.001
2082008,9,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.049,0,80,65,1.4,40.203,24.652,3.107,11.096,70.764,66.973,70.877,66.628,67.363,0,-0.04,-0.037,20,20,15.879,16.839,22.709,66.926,86.942,79.992,92.394,43.999,59.267,43.881,-10.852,110,110,71.375,150.625,70.313,69.938,0,100,72,70,1000,500,0,16.141,71.813,71.563,0.012,64.188,150.625,75.5,68.75,100,100,72,70,1000,500,0,23.906,113.188,113,0.022,64.375,150.625,72.813,70.938,100,100,72,70,1000,500,0,0,112,111.813,0.026,63.844,71.938,71.5,68.25,100,100,72,70,1000,500,0,0,109.75,109.625,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,0.001,0.001,-0.222,0.149,-0.008,-0.101,0,0,0.035,0.035,0,0.001,0.001,0
