DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E
2012008,0,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.093,0,80,65,1.4,44.844,4.494,9.252,1.076,67.672,63.761,74.453,64.981,67.037,0,-0.062,-0.062,20,20,12.959,12.093,16.228,49.456,113.273,91.806,111.445,44.362,59.477,44.246,-10.852,110,110,71.563,150.625,69.188,69.875,0,0,72,70,1000,500,0,18.078,71.813,71.313,0.012,65.75,150.625,70.063,69.25,0,0,72,70,1000,500,0,26.969,86.625,83.625,0.022,65.875,150.625,70.25,69.188,0,29.688,72,70,1000,500,0,0,89.688,88.125,0.026,65.25,150.625,69.938,67.75,0,32.281,72,70,1000,500,0,0,86.125,90.438,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,0.001,0.001,-0.148,0.001,0.001,-0.1,0,0,0.035,0.035,0.001,0.01,0.006,-0.017
2012008,1,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.064,0,80,65,1.4,44.828,4.494,12.328,-0.356,67.672,63.868,74.453,64.981,67.037,0,-0.058,-0.062,20,20,12.932,12.064,16.189,49.778,113.125,91.913,111.372,44.508,59.477,44.319,-10.852,110,110,71.563,150.625,69.188,69.938,0,0,72,70,1000,500,0,18.094,71.563,71.313,0.012,65.75,150.625,70.063,69.25,0,0,72,70,1000,500,0,26.734,86.313,83.5,0.022,65.875,150.625,70.25,69.188,0,29.688,72,70,1000,500,0,0,89.375,88,0.026,65.188,150.625,69.938,67.688,0,32.281,72,70,1000,500,0,0,85.875,90.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.222,0,0.001,0.001,-0.148,0.001,0.001,-0.165,0,0,0.035,0.035,0,0.009,0.005,-0.017
2012008,2,0,1,0,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.035,0,80,65,1.4,45.813,4.494,1.572,3.939,67.778,63.975,74.561,65.09,67.146,0,-0.062,-0.062,20,20,12.904,12.064,16.137,49.992,112.904,92.019,111.298,44.508,59.477,44.392,-10.852,110,110,71.563,150.625,69.188,69.938,0,0,72,70,1000,500,0,18.188,71.438,71.313,0.012,65.75,150.625,70.063,69.25,0,0,72,70,1000,500,0,28.641,86,83.313,0.022,65.75,150.625,70.25,69.188,0,29.688,72,70,1000,500,0,0,89.125,87.688,0.026,65.063,150.625,70.063,67.688,0,32.281,72,70,1000,500,0,0,85.688,90,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,0,0.001,-0.072,-0.148,-0.072,0.001,-0.101,0,0,0.035,0.034,0,0.009,0.005,-0.017
2012008,3,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.049,0,80,65,1.4,46.391,4.494,13.866,1.076,67.778,63.975,74.561,65.09,67.146,0,-0.058,-0.062,20,20,12.904,12.064,16.098,50.314,112.757,92.125,111.076,44.58,59.582,44.392,-10.852,110,110,71.688,150.625,69.188,69.938,0,0,72,70,1000,500,0,18.203,71.563,71.313,0.012,65.75,150.625,70.063,69.25,0,0,72,70,1000,500,0,28.719,85.688,83.125,0.022,65.938,150.625,70.25,69.188,0,29.688,72,70,1000,500,0,0,88.938,87.5,0.026,65.063,150.625,69.938,67.688,0,32.281,72,70,1000,500,0,0,85.438,89.688,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.007,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148,-0.149,-0.148,0,0.001,0.001,-0.148,0.001,0.001,-0.164,0,0,0.035,0.035,0,0.008,0.005,-0.017
2012008,4,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.093,0,80,65,1.4,47.281,4.494,12.328,-1.787,67.778,63.975,74.561,65.09,67.146,0,-0.058,-0.062,20,20,12.876,12.064,16.131,50.528,112.609,92.125,110.855,44.58,59.582,44.392,-10.852,110,110,71.563,150.625,69.125,69.938,0,0,72,70,1000,500,0,18.266,71.563,71.438,0.012,65.688,150.625,70.063,69.25,0,0,72,70,1000,500,0,29.109,85.563,83,0.022,65.875,150.625,70.25,69.063,0,29.688,72,70,1000,500,0,0,88.5,87.438,0.026,65.063,150.625,70.063,67.563,0,32.281,72,70,1000,500,0,0,85.188,89.5,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,-0.072,0.001,-0.222,0.001,0.001,-0.164,0,0,0.035,0.035,0,0.008,0.004,-0.017
2012008,5,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.078,0,80,65,1.4,47.813,4.494,12.328,-1.787,67.778,63.975,74.561,65.09,67.146,0,-0.062,-0.062,20,20,12.848,12.064,16.085,50.742,112.314,92.232,110.633,44.58,59.477,44.392,-10.852,110,110,71.563,150.625,69.438,69.938,0,0,72,70,1000,500,0,18.25,71.813,71.313,0.012,65.688,150.625,70.063,69.188,0,0,72,70,1000,500,0,29.734,85.438,82.938,0.022,65.875,150.625,70.313,69.063,0,29.688,72,70,1000,500,0,0,88.438,87.25,0.026,65.063,150.625,70.063,67.563,0,32.281,72,70,1000,500,0,0,85,89.375,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,-0.148,-0.074,0.001,0.001,-0.148,-0.072,0.001,-0.165,0,0,0.035,0.035,0.001,0.008,0.005,-0.017
2012008,6,0,1,0,1,100,0,0,0,0,0,0,35.129,33.958,0.01,13.006,0,80,65,1.4,47.813,4.494,13.866,-0.356,67.885,64.189,74.778,65.2,67.146,0,-0.062,-0.062,20,20,12.82,12.035,16.046,50.957,112.167,92.338,110.633,44.653,59.582,44.392,-10.867,110,110,71.563,150.625,69.188,69.938,0,0,72,70,1000,500,0,18.141,71.563,71.313,0.012,65.688,150.625,70.063,69.25,0,0,72,70,1000,500,0,29.922,85.125,82.625,0.022,65.875,150.625,70.313,69.188,0,29.688,72,70,1000,500,0,0,88.25,87,0.026,65.063,150.625,70.063,67.563,0,32.281,72,70,1000,500,0,0,84.875,89.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,-0.072,0.001,-0.222,0.001,0.001,-0.227,0,0,0.035,0.034,0,0.008,0.005,-0.017
2012008,7,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.064,0,80,65,1.4,48.203,4.494,10.79,-1.787,67.778,64.189,74.778,65.2,67.037,0,-0.058,-0.062,20,20,12.82,12.035,15.969,51.064,112.24,92.232,110.633,44.726,59.582,44.465,-10.867,110,110,71.563,150.625,69.438,69.875,0,0,72,70,1000,500,0,18.141,71.563,71.313,0.012,65.563,150.625,70.063,69.25,0,0,72,70,1000,500,0,29.938,84.938,82.5,0.022,65.75,150.625,70.313,69.063,0,29.688,72,70,1000,500,0,0,87.938,86.875,0.026,64.938,150.625,70.063,67.375,0,32.281,72,70,1000,500,0,0,84.5,88.875,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.007,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,0.001,0.001,-0.222,0.001,0.001,-0.23,0,0,0.035,0.035,0,0.008,0.004,-0.017
2012008,8,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.078,0,80,65,1.4,48.047,4.494,13.866,-1.787,67.992,64.296,74.778,65.09,67.146,0,-0.062,-0.062,20,20,12.793,12.035,15.904,51.385,112.314,92.445,110.707,44.799,59.477,44.537,-10.852,110,110,71.563,150.625,69.438,69.938,0,0,72,70,1000,500,0,18.016,71.563,71.313,0.012,65.563,150.625,70.063,69.188,0,0,72,70,1000,500,0,29.938,84.813,82.375,0.022,65.875,150.625,70.313,69.063,0,29.688,72,70,1000,500,0,0,87.75,86.813,0.026,64.938,150.625,70.063,67.375,0,32.281,72,70,1000,500,0,0,84.375,88.813,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,-0.074,-0.072,0.149,-0.222,0.001,0.001,-0.233,0,0,0.035,0.035,0,0.008,0.004,-0.017
2012008,9,0,1,0,1,100,0,0,0,0,0,0,35.129,35.129,0.01,13.02,0,80,65,1.4,48.016,5.753,16.945,-1.787,67.885,64.296,74.778,65.31,67.146,0,-0.062,-0.062,20,20,12.793,12.035,15.82,51.493,112.167,92.445,110.633,44.726,59.582,44.537,-10.852,110,110,71.563,150.625,69.563,69.938,0,0,72,70,1000,500,0,18.094,71.813,71.313,0.012,65.688,150.625,70.063,69.188,0,0,72,70,1000,500,0,30.141,84.5,82.313,0.022,65.75,150.625,70.313,69.063,0,29.688,72,70,1000,500,0,0,87.563,86.5,0.026,64.938,150.625,70.063,67.375,0,32.281,72,70,1000,500,0,0,84.125,88.438,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-0.148,0,0.001,0.001,-0.148,-0.072,0.001,-0.166,0,0,0.035,0.035,0.001,0.007,0.004,-0.017
